Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.77
moral,0.77,0.74,0.4,0.09
verw,0.89,0.78,0.46,0.01
sparkont,1.0,0.99,0.98,0.69
beszeit,0.95,0.93,0.79,0.2
rate,0.89,0.89,0.66,0.26
famges,0.99,0.99,0.97,0.66
buerge,0.29,0.37,0.12,0.05
wohnzeit,0.92,0.92,0.75,0.31
verm,1.0,1.0,0.99,0.86
weitkred,0.48,0.52,0.23,0.04
wohn,1.0,1.0,0.99,0.81
bishkred,0.66,0.58,0.32,0.01
beruf,0.73,0.7,0.4,0.02
pers,0.53,0.63,0.36,0.19
telef,0.94,0.96,0.89,0.62
gastarb,0.99,0.99,0.98,0.8
kredit,0.83,0.87,0.7,0.41
