Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.79
moral,0.77,0.73,0.41,0.09
verw,0.9,0.78,0.48,0.0
sparkont,1.0,0.99,0.98,0.69
beszeit,0.94,0.93,0.77,0.2
rate,0.93,0.93,0.77,0.34
famges,0.99,0.99,0.97,0.66
buerge,0.31,0.39,0.13,0.05
wohnzeit,0.94,0.93,0.79,0.36
verm,1.0,1.0,0.99,0.85
weitkred,0.5,0.55,0.25,0.05
wohn,0.99,0.99,0.98,0.76
bishkred,0.67,0.6,0.34,0.01
beruf,0.74,0.71,0.42,0.02
pers,0.54,0.63,0.37,0.19
telef,0.96,0.97,0.92,0.66
gastarb,0.99,0.99,0.97,0.79
kredit,0.83,0.88,0.71,0.42
