Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.9,0.76,0.16
moral,0.77,0.73,0.39,0.07
verw,0.9,0.81,0.49,0.04
sparkont,0.72,0.72,0.34,0.07
beszeit,0.94,0.93,0.77,0.17
rate,0.9,0.91,0.7,0.3
famges,0.78,0.76,0.47,0.08
buerge,0.26,0.34,0.11,0.04
wohnzeit,0.92,0.91,0.74,0.3
verm,0.98,0.98,0.92,0.5
weitkred,0.48,0.53,0.23,0.06
wohn,0.7,0.74,0.43,0.17
bishkred,0.64,0.55,0.31,0.01
beruf,0.72,0.7,0.39,0.03
pers,0.51,0.61,0.34,0.17
telef,0.95,0.96,0.9,0.63
gastarb,0.14,0.23,0.08,0.04
kredit,0.86,0.9,0.76,0.46
