Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.76
moral,0.8,0.76,0.44,0.08
verw,0.9,0.8,0.47,0.03
sparkont,0.99,0.98,0.94,0.59
beszeit,0.95,0.93,0.78,0.2
rate,0.9,0.91,0.7,0.3
famges,0.98,0.98,0.91,0.52
buerge,0.22,0.29,0.09,0.02
wohnzeit,0.91,0.91,0.73,0.28
verm,1.0,1.0,1.0,0.85
weitkred,0.48,0.52,0.23,0.03
wohn,0.97,0.97,0.91,0.56
bishkred,0.65,0.57,0.32,0.01
beruf,0.72,0.7,0.4,0.03
pers,0.54,0.64,0.37,0.19
telef,0.97,0.98,0.94,0.71
gastarb,0.29,0.4,0.17,0.09
kredit,0.79,0.84,0.65,0.37
