Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.97,0.96,0.87,0.36
moral,0.76,0.72,0.39,0.07
verw,0.89,0.79,0.45,0.02
sparkont,0.85,0.85,0.54,0.16
beszeit,0.94,0.92,0.76,0.16
rate,0.91,0.91,0.71,0.27
famges,0.87,0.86,0.63,0.22
buerge,0.31,0.39,0.13,0.05
wohnzeit,0.93,0.92,0.77,0.32
verm,0.99,0.99,0.95,0.6
weitkred,0.5,0.55,0.25,0.06
wohn,0.82,0.85,0.61,0.25
bishkred,0.66,0.58,0.32,0.01
beruf,0.69,0.67,0.36,0.02
pers,0.49,0.59,0.32,0.16
telef,0.93,0.95,0.88,0.59
gastarb,0.51,0.61,0.34,0.17
kredit,0.88,0.91,0.79,0.49
