36, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,50, Dominican-Republic, <=50K
59, Private, HS-grad, Divorced, Sales, Husband, Other, Male,0,0,40, Ireland, >50K
42, Private, Bachelors, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,40, England, <=50K
43, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,60, El-Salvador, >50K
55, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,60, United-States, >50K
30, Private, 12th, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,30, El-Salvador, <=50K
35, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Female,4677,0,80, Ecuador, >50K
33, Self-emp-inc, Assoc-voc, Divorced, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,70, Yugoslavia, <=50K
60, Private, HS-grad, Widowed, Exec-managerial, Not-in-family, Black, Female,0,0,40, Dominican-Republic, <=50K
27, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, South, <=50K
25, Private, 11th, Never-married, Other-service, Husband, White, Female,0,0,25, South, <=50K
52, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,99999,0,40, Ireland, >50K
59, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Female,0,0,40, Nicaragua, >50K
46, Private, Some-college, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,44, Canada, >50K
32, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,1902,50, Cuba, <=50K
26, Private, Some-college, Married-spouse-absent, Craft-repair, Husband, Black, Female,0,0,40, Poland, <=50K
36, Self-emp-inc, Doctorate, Married-civ-spouse, Sales, Not-in-family, Black, Female,99999,0,54, Vietnam, >50K
19, Private, 7th-8th, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,15, Columbia, <=50K
51, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,7687,0,54, Yugoslavia, >50K
70, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,81, Japan, >50K
50, Private, Bachelors, Separated, Craft-repair, Husband, Black, Male,0,0,40, Yugoslavia, <=50K
28, Federal-gov, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,20, Ecuador, <=50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,45, Jamaica, <=50K
30, Private, Some-college, Divorced, Protective-serv, Not-in-family, White, Female,0,0,45, United-States, <=50K
21, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,27, China, <=50K
30, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,1975,40, El-Salvador, >50K
20, Private, Bachelors, Never-married, Prof-specialty, Own-child, Black, Male,0,0,35, Dominican-Republic, <=50K
63, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,14217,0,40, Germany, >50K
39, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, Cambodia, <=50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
53, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,1946,60, Yugoslavia, >50K
32, Private, Masters, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,50, Thailand, <=50K
25, Private, Some-college, Never-married, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Female,0,0,54, Scotland, <=50K
33, Private, Some-college, Married-civ-spouse, Protective-serv, Not-in-family, Black, Male,0,0,30, El-Salvador, <=50K
26, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Guatemala, <=50K
47, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, Guatemala, <=50K
50, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, Ecuador, <=50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, Nicaragua, >50K
48, Local-gov, Assoc-voc, Married-civ-spouse, Adm-clerical, Unmarried, Black, Male,0,0,40, Japan, >50K
21, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,35, Japan, <=50K
53, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,50, France, >50K
37, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Mexico, <=50K
49, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, Poland, >50K
64, Federal-gov, 1st-4th, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,30, England, <=50K
65, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,40, Hong, <=50K
50, Federal-gov, HS-grad, Widowed, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Nicaragua, <=50K
57, Self-emp-not-inc, Assoc-acdm, Widowed, Prof-specialty, Wife, Black, Male,0,0,50, Japan, <=50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,30, Honduras, <=50K
28, Private, Masters, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Female,0,0,40, Yugoslavia, <=50K
49, Private, 9th, Divorced, Exec-managerial, Husband, Other, Male,0,0,35, Cuba, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Ecuador, <=50K
35, Self-emp-inc, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,45, India, <=50K
26, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
27, State-gov, HS-grad, Never-married, Craft-repair, Husband, Black, Male,0,0,43, Cuba, >50K
58, Self-emp-not-inc, 10th, Married-civ-spouse, Tech-support, Not-in-family, Other, Female,0,0,40, Jamaica, <=50K
27, Private, HS-grad, Divorced, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,54, Japan, >50K
67, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,4504,0,40, Taiwan, >50K
23, Private, Some-college, Never-married, Craft-repair, Own-child, Black, Female,0,0,20, Thailand, <=50K
29, Private, 11th, Married-civ-spouse, Adm-clerical, Own-child, Other, Female,0,0,40, Ecuador, <=50K
21, Private, Masters, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,30, Canada, <=50K
27, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Female,0,0,40, Yugoslavia, >50K
41, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,9768,0,50, Taiwan, >50K
44, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,40, Greece, <=50K
20, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, Poland, <=50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Haiti, >50K
33, Private, Assoc-voc, Never-married, Farming-fishing, Husband, Asian-Pac-Islander, Female,0,0,60, Puerto-Rico, <=50K
26, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, Jamaica, <=50K
21, Private, 12th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, India, <=50K
65, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, France, <=50K
43, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,39, Germany, <=50K
31, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,50, Ireland, <=50K
23, Private, Some-college, Never-married, Farming-fishing, Own-child, Other, Male,0,0,25, Japan, <=50K
35, Local-gov, 11th, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,35, Columbia, <=50K
36, Private, Bachelors, Married-civ-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,60, Jamaica, <=50K
52, Private, Bachelors, Divorced, Craft-repair, Wife, Other, Female,0,0,40, Ecuador, <=50K
29, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Taiwan, <=50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, Cuba, <=50K
35, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Germany, <=50K
44, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,7298,0,40, South, >50K
44, Local-gov, Assoc-acdm, Married-civ-spouse, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Canada, <=50K
25, Private, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
49, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,26690,0,35, Haiti, >50K
52, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,45, Ireland, >50K
37, Private, Bachelors, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
29, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,45, Trinadad&Tobago, <=50K
23, Private, HS-grad, Never-married, Sales, Other-relative, Other, Female,0,0,17, Columbia, <=50K
50, Private, HS-grad, Married-civ-spouse, Farming-fishing, Wife, Amer-Indian-Eskimo, Female,0,0,15, China, <=50K
29, Private, Some-college, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,50, Hong, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,50, Taiwan, <=50K
36, Local-gov, Bachelors, Divorced, Tech-support, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Guatemala, >50K
57, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,1902,54, Guatemala, <=50K
42, Private, HS-grad, Married-civ-spouse, Prof-specialty, Other-relative, Amer-Indian-Eskimo, Female,0,0,20, Trinadad&Tobago, <=50K
39, Private, HS-grad, Married-civ-spouse, Protective-serv, Wife, Amer-Indian-Eskimo, Female,15024,0,40, Canada, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,60, El-Salvador, >50K
30, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, Other, Female,0,0,45, Taiwan, <=50K
46, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, Taiwan, <=50K
49, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, Thailand, >50K
31, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,84, Scotland, >50K
33, Private, Bachelors, Never-married, Tech-support, Husband, White, Female,0,2001,40, France, >50K
39, Local-gov, Assoc-acdm, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, China, >50K
42, Federal-gov, 5th-6th, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,40, Jamaica, <=50K
32, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, Other, Male,0,0,60, Thailand, >50K
35, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Portugal, <=50K
65, Self-emp-not-inc, Masters, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Ireland, >50K
31, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,20, Thailand, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, Black, Female,0,0,84, England, <=50K
23, State-gov, Some-college, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Haiti, <=50K
44, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,1974,50, Thailand, >50K
41, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,54, Thailand, <=50K
41, Without-pay, Prof-school, Separated, Prof-specialty, Husband, White, Male,0,0,35, Guatemala, <=50K
27, Private, Assoc-voc, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,20, El-Salvador, <=50K
53, Private, HS-grad, Widowed, Sales, Husband, Other, Male,0,0,45, Greece, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,30, Puerto-Rico, <=50K
39, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,50, Thailand, >50K
17, Private, 11th, Never-married, Other-service, Own-child, Other, Male,0,0,15, Outlying-US(Guam-USVI-etc), <=50K
21, Private, HS-grad, Never-married, Sales, Husband, Asian-Pac-Islander, Male,0,0,15, Portugal, <=50K
33, Self-emp-not-inc, Masters, Never-married, Other-service, Unmarried, Black, Male,0,0,40, Scotland, <=50K
55, Private, Prof-school, Married-civ-spouse, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Male,0,0,54, Peru, <=50K
50, Private, Assoc-acdm, Widowed, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Thailand, >50K
62, Self-emp-not-inc, HS-grad, Widowed, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,20, China, <=50K
20, Self-emp-inc, HS-grad, Never-married, Other-service, Own-child, Black, Male,0,0,20, Portugal, <=50K
39, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,44, Outlying-US(Guam-USVI-etc), <=50K
43, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,3119,0,40, India, >50K
72, Private, Masters, Widowed, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Japan, <=50K
