23, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
51, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,54, United-States, >50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,1848,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,7205,0,40, United-States, >50K
30, Private, 1st-4th, Never-married, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Other-relative, White, Female,0,0,40, United-States, <=50K
24, Private, Assoc-voc, Divorced, Craft-repair, Wife, White, Male,0,0,40, Vietnam, <=50K
20, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Female,0,0,20, United-States, <=50K
52, Local-gov, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
51, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, United-States, <=50K
23, Private, Bachelors, Never-married, Sales, Husband, White, Female,0,0,40, United-States, >50K
55, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,14171,0,48, Italy, >50K
22, Self-emp-inc, Masters, Married-civ-spouse, Sales, Other-relative, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
38, Private, Doctorate, Divorced, Transport-moving, Own-child, White, Female,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States, >50K
17, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
35, Self-emp-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Female,8124,0,40, United-States, >50K
28, Private, Bachelors, Separated, Exec-managerial, Husband, White, Male,99999,0,40, United-States, <=50K
28, Federal-gov, Bachelors, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
43, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, >50K
30, Private, Some-college, Divorced, Protective-serv, Other-relative, White, Male,0,0,40, United-States, <=50K
61, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, Philippines, <=50K
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
30, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Male,0,0,40, United-States, >50K
33, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
23, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, Greece, <=50K
58, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,36, Germany, >50K
44, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
28, Private, Preschool, Never-married, Exec-managerial, Own-child, White, Male,0,0,50, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, Black, Female,14083,0,40, United-States, <=50K
45, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
57, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,35, United-States, <=50K
65, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
60, State-gov, HS-grad, Never-married, Prof-specialty, Other-relative, Black, Male,0,0,40, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
23, Self-emp-inc, Some-college, Never-married, Protective-serv, Own-child, White, Female,0,0,40, United-States, <=50K
40, Local-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,1887,40, United-States, >50K
28, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,35, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,60, United-States, >50K
22, Private, Assoc-acdm, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, Bachelors, Divorced, Handlers-cleaners, Not-in-family, White, Male,7298,0,40, United-States, >50K
25, Local-gov, 1st-4th, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,50, United-States, <=50K
54, Local-gov, Bachelors, Married-civ-spouse, Priv-house-serv, Husband, White, Female,14194,0,50, United-States, >50K
20, Local-gov, HS-grad, Never-married, Other-service, Husband, Black, Male,0,0,40, United-States, <=50K
19, Private, 1st-4th, Separated, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Adm-clerical, Other-relative, White, Female,0,0,20, Vietnam, <=50K
20, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
40, Self-emp-inc, Assoc-voc, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
19, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
42, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Female,0,0,54, United-States, >50K
59, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
32, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
29, Private, 11th, Married-civ-spouse, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
36, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Mexico, >50K
33, Private, HS-grad, Divorced, Craft-repair, Husband, White, Female,0,0,40, Yugoslavia, >50K
20, Private, Some-college, Never-married, Other-service, Own-child, Black, Female,0,0,12, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
34, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1810,40, United-States, >50K
27, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, White, Female,0,0,50, United-States, <=50K
28, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
28, Private, 7th-8th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, Masters, Divorced, Protective-serv, Husband, White, Male,0,0,29, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
31, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, >50K
22, Private, 11th, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
53, Private, Bachelors, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,50, United-States, <=50K
18, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,15, United-States, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,54, United-States, <=50K
54, Private, Bachelors, Widowed, Sales, Other-relative, Asian-Pac-Islander, Female,0,0,35, United-States, <=50K
32, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,12878,0,40, United-States, >50K
36, Local-gov, Assoc-acdm, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,1887,40, Philippines, <=50K
33, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,1669,40, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, >50K
26, Private, Bachelors, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Black, Male,0,0,50, Mexico, <=50K
28, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
26, Private, Masters, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,15024,0,40, United-States, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,36, United-States, <=50K
52, State-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
44, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,57, United-States, >50K
47, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Other-relative, White, Male,0,0,67, Outlying-US(Guam-USVI-etc), <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,60, United-States, >50K
50, Private, HS-grad, Married-civ-spouse, Farming-fishing, Other-relative, White, Female,0,0,65, United-States, >50K
25, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,36, United-States, <=50K
39, Self-emp-inc, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
17, Private, HS-grad, Never-married, Other-service, Husband, White, Female,0,0,29, United-States, <=50K
40, Private, Doctorate, Never-married, Transport-moving, Husband, White, Female,0,0,54, United-States, >50K
37, Local-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,40, United-States, >50K
40, Federal-gov, 5th-6th, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, >50K
36, Private, Some-college, Separated, Sales, Husband, White, Male,15523,0,40, United-States, <=50K
38, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,1887,40, United-States, >50K
28, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,48, United-States, <=50K
36, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
50, Self-emp-not-inc, HS-grad, Separated, Adm-clerical, Unmarried, White, Male,0,0,50, United-States, >50K
41, Self-emp-not-inc, Masters, Separated, Craft-repair, Husband, White, Male,14684,0,40, United-States, <=50K
54, State-gov, Masters, Widowed, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, Assoc-voc, Divorced, Handlers-cleaners, Husband, White, Male,0,0,51, United-States, <=50K
37, Private, HS-grad, Widowed, Protective-serv, Husband, White, Male,0,0,21, United-States, <=50K
36, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,29, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, Some-college, Widowed, Exec-managerial, Other-relative, White, Male,0,0,38, United-States, <=50K
44, Private, Doctorate, Separated, Sales, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,20, United-States, <=50K
58, Private, Masters, Married-civ-spouse, Tech-support, Unmarried, White, Male,0,0,40, United-States, <=50K
27, Private, Assoc-acdm, Never-married, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,50, Mexico, <=50K
27, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
31, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,20, United-States, <=50K
55, Private, Masters, Separated, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
58, Federal-gov, 7th-8th, Married-civ-spouse, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, United-States, >50K
45, State-gov, Doctorate, Never-married, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
55, Private, 10th, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Female,0,0,36, United-States, <=50K
35, Local-gov, Some-college, Divorced, Transport-moving, Unmarried, White, Female,0,0,29, United-States, >50K
61, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, >50K
23, Self-emp-inc, Masters, Never-married, Machine-op-inspct, Husband, Black, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Tech-support, Not-in-family, White, Male,0,0,29, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Other-service, Other-relative, White, Male,0,0,35, Puerto-Rico, <=50K
20, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,45, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,54, United-States, <=50K
37, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
37, Local-gov, 12th, Married-civ-spouse, Exec-managerial, Husband, White, Male,7690,0,40, United-States, <=50K
45, Federal-gov, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,54, United-States, <=50K
17, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,35, United-States, <=50K
31, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
25, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
55, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Husband, White, Male,8517,0,50, United-States, >50K
26, Private, Some-college, Divorced, Exec-managerial, Own-child, White, Female,0,0,20, United-States, <=50K
19, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
60, Local-gov, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,50, United-States, <=50K
25, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, Self-emp-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
39, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Unmarried, White, Male,15024,0,40, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3355,0,40, United-States, >50K
28, Private, Masters, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, >50K
32, Private, 1st-4th, Never-married, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,15, United-States, <=50K
26, Private, 7th-8th, Never-married, Other-service, Unmarried, White, Female,0,0,12, United-States, >50K
23, Private, HS-grad, Never-married, Adm-clerical, Husband, Black, Female,0,0,29, United-States, <=50K
55, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,35, United-States, >50K
20, Private, 11th, Married-civ-spouse, Tech-support, Unmarried, White, Male,0,0,40, United-States, <=50K
55, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, >50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,29, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, >50K
23, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,50, United-States, >50K
30, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,54, United-States, <=50K
30, Private, 10th, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,40, United-States, <=50K
40, Private, Bachelors, Divorced, Other-service, Husband, White, Male,0,0,29, United-States, >50K
31, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
63, State-gov, Some-college, Separated, Craft-repair, Unmarried, White, Male,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Local-gov, 11th, Never-married, Adm-clerical, Unmarried, White, Male,0,0,29, United-States, <=50K
17, Private, 12th, Never-married, Protective-serv, Not-in-family, White, Male,0,0,35, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Adm-clerical, Own-child, White, Female,0,0,50, United-States, >50K
43, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,7298,0,40, United-States, >50K
28, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
46, Private, Some-college, Never-married, Sales, Other-relative, Black, Male,0,0,40, United-States, >50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,60, United-States, <=50K
58, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, Black, Male,0,0,40, United-States, >50K
39, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,1887,40, United-States, >50K
30, Private, 12th, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,50, United-States, <=50K
29, Private, Some-college, Never-married, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Wife, White, Male,0,0,35, United-States, <=50K
26, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
35, Self-emp-not-inc, HS-grad, Separated, Craft-repair, Husband, White, Male,0,0,40, India, <=50K
25, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,36, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
56, Private, Masters, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,35, Taiwan, <=50K
47, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,7298,0,40, United-States, >50K
38, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, Bachelors, Separated, Craft-repair, Not-in-family, White, Male,0,0,60, United-States, <=50K
35, Private, HS-grad, Separated, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
