Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.79
moral,0.81,0.78,0.46,0.1
verw,0.91,0.81,0.52,0.02
sparkont,1.0,0.99,0.98,0.68
beszeit,0.94,0.92,0.76,0.14
rate,0.93,0.93,0.76,0.33
famges,0.99,0.99,0.97,0.67
buerge,0.3,0.38,0.13,0.04
wohnzeit,0.94,0.94,0.8,0.34
verm,1.0,1.0,0.99,0.84
weitkred,0.52,0.58,0.27,0.08
wohn,0.99,0.99,0.98,0.77
bishkred,0.67,0.6,0.34,0.03
beruf,0.73,0.7,0.4,0.02
pers,0.61,0.69,0.43,0.23
telef,0.96,0.97,0.92,0.66
gastarb,0.99,0.99,0.97,0.79
kredit,0.85,0.89,0.74,0.45
