Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.98,0.76
moral,0.75,0.72,0.38,0.09
verw,0.89,0.78,0.45,0.01
sparkont,0.99,0.98,0.93,0.54
beszeit,0.95,0.93,0.78,0.19
rate,0.9,0.9,0.7,0.29
famges,0.98,0.98,0.92,0.52
buerge,0.29,0.37,0.12,0.05
wohnzeit,0.93,0.92,0.77,0.34
verm,1.0,1.0,1.0,0.87
weitkred,0.48,0.52,0.23,0.04
wohn,0.99,0.99,0.96,0.66
bishkred,0.64,0.57,0.31,0.01
beruf,0.72,0.69,0.4,0.02
pers,0.52,0.62,0.35,0.18
telef,0.94,0.95,0.88,0.6
gastarb,0.96,0.97,0.92,0.67
kredit,0.84,0.88,0.73,0.43
