Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.79
moral,0.82,0.78,0.47,0.09
verw,0.89,0.78,0.48,0.01
sparkont,1.0,1.0,1.0,0.86
beszeit,0.96,0.94,0.81,0.22
rate,0.92,0.92,0.74,0.3
famges,0.99,0.99,0.98,0.69
buerge,0.27,0.35,0.11,0.05
wohnzeit,0.93,0.92,0.77,0.3
verm,0.99,0.99,0.98,0.7
weitkred,0.53,0.57,0.28,0.04
wohn,1.0,1.0,0.99,0.8
bishkred,0.71,0.65,0.38,0.03
beruf,0.71,0.69,0.38,0.02
pers,0.62,0.7,0.44,0.23
telef,0.97,0.98,0.95,0.72
gastarb,0.99,0.99,0.98,0.82
kredit,0.83,0.88,0.72,0.42
