25, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,35, Ecuador, <=50K
24, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, Laos, <=50K
19, Private, Assoc-voc, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, Germany, <=50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,82, France, <=50K
59, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
28, Private, 9th, Married-civ-spouse, Protective-serv, Husband, Black, Female,0,0,40, France, >50K
64, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,60, England, <=50K
40, Private, Doctorate, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
72, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
62, Local-gov, HS-grad, Widowed, Farming-fishing, Not-in-family, Black, Male,0,0,30, United-States, <=50K
24, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Mexico, <=50K
18, Private, Bachelors, Never-married, Sales, Other-relative, Black, Female,0,0,27, Puerto-Rico, >50K
22, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,10, Canada, <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Ecuador, <=50K
44, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,40, Trinadad&Tobago, <=50K
61, Private, HS-grad, Divorced, Tech-support, Unmarried, Other, Female,0,0,38, Vietnam, <=50K
43, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,4525,0,40, Columbia, <=50K
21, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,35, Yugoslavia, <=50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,50, Peru, >50K
50, Private, HS-grad, Separated, Exec-managerial, Husband, Black, Male,0,0,40, Yugoslavia, <=50K
27, Federal-gov, Bachelors, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,1902,40, England, <=50K
32, Private, HS-grad, Never-married, Prof-specialty, Own-child, Black, Female,0,0,50, Peru, <=50K
22, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Columbia, >50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,15024,0,60, France, >50K
22, Private, Bachelors, Divorced, Protective-serv, Not-in-family, Other, Male,0,0,60, El-Salvador, <=50K
57, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,54, Haiti, <=50K
40, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,60, Canada, <=50K
58, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,1965,40, Canada, >50K
41, State-gov, Some-college, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,48, Yugoslavia, <=50K
58, Private, Masters, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,20, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, France, <=50K
39, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,7687,0,35, Hong, >50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Hong, <=50K
34, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,4080,0,86, England, >50K
64, Private, HS-grad, Never-married, Other-service, Wife, Black, Female,0,0,20, Ecuador, <=50K
68, Self-emp-not-inc, Masters, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,45, Scotland, >50K
40, Local-gov, Assoc-voc, Never-married, Adm-clerical, Unmarried, Other, Male,0,0,40, Philippines, <=50K
25, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,50, Philippines, >50K
26, Private, Some-college, Married-civ-spouse, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Guatemala, <=50K
19, Private, 1st-4th, Never-married, Other-service, Husband, White, Male,0,0,40, Portugal, <=50K
22, Private, Assoc-voc, Never-married, Machine-op-inspct, Own-child, Other, Male,0,0,40, Trinadad&Tobago, <=50K
19, Local-gov, 11th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,40, Germany, <=50K
31, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,40, Ireland, <=50K
33, Local-gov, HS-grad, Separated, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,35, Puerto-Rico, <=50K
36, Private, Bachelors, Widowed, Prof-specialty, Wife, Other, Male,0,0,40, Peru, <=50K
22, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Own-child, Black, Male,0,0,40, Iran, <=50K
