26, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
31, Private, HS-grad, Divorced, Protective-serv, Not-in-family, Other, Male,0,0,30, Iran, >50K
39, Private, Bachelors, Married-civ-spouse, Craft-repair, Other-relative, White, Female,0,0,40, England, <=50K
43, Private, HS-grad, Divorced, Other-service, Husband, Other, Male,0,0,40, El-Salvador, <=50K
36, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, <=50K
22, Private, 11th, Never-married, Prof-specialty, Own-child, Black, Female,0,0,20, Ecuador, <=50K
44, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,53, Ecuador, <=50K
70, Self-emp-inc, 9th, Divorced, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,50, Yugoslavia, <=50K
32, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Dominican-Republic, <=50K
56, Local-gov, HS-grad, Never-married, Craft-repair, Husband, Black, Male,0,0,40, Scotland, <=50K
42, Private, 5th-6th, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,40, Scotland, <=50K
34, Private, HS-grad, Married-civ-spouse, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,35, Ireland, <=50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Female,0,0,40, Nicaragua, >50K
31, Private, Some-college, Never-married, Machine-op-inspct, Husband, Other, Female,5178,0,45, Canada, >50K
27, Self-emp-inc, Masters, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
17, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,20, Poland, <=50K
28, Private, HS-grad, Divorced, Transport-moving, Unmarried, Black, Female,0,0,40, Vietnam, <=50K
54, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,30, China, >50K
48, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,20, Yugoslavia, <=50K
51, Self-emp-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,1727,25, Japan, >50K
46, Private, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,0,0,50, Yugoslavia, <=50K
36, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
30, Private, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, Black, Female,0,0,40, Jamaica, <=50K
46, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
46, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,50, China, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
47, Private, Assoc-voc, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,16, Cuba, <=50K
60, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Germany, <=50K
52, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,32, Cambodia, <=50K
68, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
40, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
29, Private, Some-college, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, Thailand, <=50K
26, Private, Some-college, Never-married, Tech-support, Other-relative, Amer-Indian-Eskimo, Female,0,0,40, Puerto-Rico, <=50K
62, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, El-Salvador, <=50K
39, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Guatemala, <=50K
23, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,30, Greece, <=50K
41, State-gov, HS-grad, Never-married, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0,0,35, Ecuador, <=50K
58, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
27, Self-emp-not-inc, Masters, Never-married, Sales, Own-child, White, Female,0,0,1, Nicaragua, <=50K
46, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,35, Japan, <=50K
34, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,1902,45, Japan, >50K
50, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, France, >50K
60, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Laos, <=50K
57, Private, Assoc-acdm, Divorced, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, Poland, >50K
40, Federal-gov, 5th-6th, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,40, England, <=50K
47, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,99999,0,40, Hong, >50K
49, Federal-gov, HS-grad, Widowed, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
24, Private, Assoc-voc, Separated, Prof-specialty, Unmarried, Other, Male,0,0,60, Japan, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
48, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,60, Yugoslavia, <=50K
23, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,0,0,40, Cuba, <=50K
55, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Ecuador, <=50K
19, Private, 9th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,25, India, <=50K
50, Private, Some-college, Divorced, Prof-specialty, Husband, Other, Female,3930,0,40, Nicaragua, >50K
59, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Cuba, >50K
44, Private, 11th, Married-civ-spouse, Tech-support, Not-in-family, Other, Female,0,1902,40, Jamaica, >50K
44, Private, HS-grad, Divorced, Craft-repair, Husband, Amer-Indian-Eskimo, Female,7687,0,40, Jamaica, >50K
