41, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Dominican-Republic, >50K
36, Private, HS-grad, Divorced, Sales, Husband, Other, Male,0,0,45, Iran, >50K
58, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,60, England, <=50K
37, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,50, El-Salvador, >50K
22, Private, HS-grad, Never-married, Tech-support, Husband, Other, Male,0,0,35, Trinadad&Tobago, <=50K
51, Private, 11th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, El-Salvador, >50K
55, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Other, Female,0,0,60, Ecuador, <=50K
74, Self-emp-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,10, Yugoslavia, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
40, Local-gov, HS-grad, Never-married, Exec-managerial, Husband, Black, Male,0,0,40, Scotland, <=50K
23, Private, 11th, Never-married, Other-service, Husband, White, Female,0,0,25, Scotland, <=50K
21, Private, HS-grad, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Iran, <=50K
33, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, Mexico, >50K
32, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,51, Canada, <=50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,27807,0,65, Cuba, >50K
22, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, Philippines, <=50K
41, Private, Bachelors, Divorced, Transport-moving, Not-in-family, Black, Female,0,0,50, Vietnam, <=50K
46, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Columbia, >50K
67, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,24, Yugoslavia, >50K
51, Self-emp-inc, 1st-4th, Married-civ-spouse, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,6, Jamaica, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Husband, Black, Male,0,0,45, Yugoslavia, <=50K
46, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,20, Ecuador, <=50K
46, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, Black, Female,0,0,60, Italy, >50K
43, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
43, Private, Doctorate, Divorced, Exec-managerial, Husband, White, Male,0,0,50, China, <=50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
62, Private, Assoc-voc, Divorced, Prof-specialty, Not-in-family, Black, Male,0,0,40, Dominican-Republic, >50K
21, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, Germany, <=50K
46, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, Cambodia, <=50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
52, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
39, Private, Prof-school, Never-married, Exec-managerial, Unmarried, Black, Male,0,0,35, Thailand, <=50K
54, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Female,0,0,40, Puerto-Rico, <=50K
42, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, El-Salvador, <=50K
47, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Guatemala, <=50K
43, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, Other, Male,0,0,60, Guatemala, >50K
42, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,20, Dominican-Republic, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,15, Nicaragua, <=50K
41, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,35, Japan, <=50K
34, Private, Bachelors, Never-married, Priv-house-serv, Unmarried, White, Female,0,0,40, Japan, <=50K
32, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,3889,0,50, France, >50K
23, Private, 12th, Never-married, Other-service, Husband, White, Male,0,0,14, Laos, <=50K
47, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,54, Philippines, >50K
20, Local-gov, 11th, Never-married, Priv-house-serv, Own-child, Asian-Pac-Islander, Male,0,0,26, England, <=50K
27, Local-gov, Bachelors, Never-married, Other-service, Husband, Black, Female,0,0,40, Honduras, <=50K
57, Federal-gov, HS-grad, Widowed, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
37, Private, Assoc-voc, Widowed, Other-service, Wife, Black, Male,0,0,40, Jamaica, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Holand-Netherlands, <=50K
48, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,50, Yugoslavia, <=50K
31, Private, Assoc-voc, Divorced, Craft-repair, Husband, Other, Male,0,0,40, Cuba, <=50K
46, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,15024,0,60, Ecuador, >50K
39, Private, Assoc-voc, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Hungary, <=50K
61, Private, Some-college, Divorced, Prof-specialty, Husband, Black, Female,0,0,48, Nicaragua, <=50K
22, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,34, Cuba, <=50K
17, Private, 10th, Never-married, Sales, Own-child, Other, Female,0,0,12, Italy, <=50K
29, Private, HS-grad, Divorced, Craft-repair, Husband, Amer-Indian-Eskimo, Female,3707,0,45, Jamaica, >50K
47, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35, South, >50K
32, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, Taiwan, <=50K
56, Private, 10th, Married-civ-spouse, Adm-clerical, Unmarried, Other, Female,0,0,27, Ecuador, <=50K
48, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,45, Canada, >50K
46, Private, HS-grad, Divorced, Exec-managerial, Husband, Other, Female,0,0,60, Yugoslavia, >50K
37, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, >50K
44, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,95, Greece, <=50K
25, Private, HS-grad, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,45, Philippines, <=50K
43, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Haiti, >50K
43, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,45, Portugal, <=50K
33, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Male,0,0,40, Italy, <=50K
23, Private, 11th, Never-married, Adm-clerical, Husband, White, Male,0,0,24, Hungary, <=50K
31, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, France, <=50K
23, Private, Bachelors, Never-married, Protective-serv, Husband, Other, Female,0,0,50, Germany, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Iran, <=50K
52, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,0,0,40, Jamaica, >50K
47, Local-gov, 11th, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
50, Private, Doctorate, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Italy, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Other, Female,0,0,40, Ecuador, <=50K
54, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, South, <=50K
19, Private, Doctorate, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Male,27812,0,20, Cuba, <=50K
49, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
56, Private, 11th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,10, South, >50K
24, Private, Assoc-acdm, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
32, Self-emp-inc, Some-college, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,54, Dominican-Republic, >50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,60, Holand-Netherlands, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Iran, >50K
65, Self-emp-not-inc, Assoc-voc, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Trinadad&Tobago, <=50K
35, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, White, Male,0,0,35, Thailand, <=50K
39, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Black, Female,0,1887,40, Columbia, <=50K
22, Private, HS-grad, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,35, China, <=50K
60, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Black, Female,0,0,45, Hong, >50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Taiwan, <=50K
25, Private, HS-grad, Married-civ-spouse, Tech-support, Own-child, Asian-Pac-Islander, Male,0,0,40, Guatemala, <=50K
27, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,40, Guatemala, <=50K
47, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, Thailand, <=50K
60, Private, HS-grad, Married-civ-spouse, Protective-serv, Unmarried, Amer-Indian-Eskimo, Female,0,0,35, China, <=50K
24, Private, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,20, England, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Other, Female,0,0,7, South, <=50K
28, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,40, South, <=50K
39, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Taiwan, >50K
44, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Female,15024,0,40, Scotland, >50K
