44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,72, Dominican-Republic, >50K
49, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Jamaica, >50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,45, France, <=50K
43, Private, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, Other, Male,0,0,15, England, <=50K
59, Private, HS-grad, Divorced, Transport-moving, Not-in-family, Other, Male,0,0,40, United-States, <=50K
26, Private, 11th, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,15, England, <=50K
67, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,20, El-Salvador, <=50K
33, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Yugoslavia, <=50K
58, Private, HS-grad, Widowed, Exec-managerial, Unmarried, Black, Female,0,0,40, Ecuador, <=50K
35, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, >50K
55, Private, 7th-8th, Never-married, Other-service, Husband, White, Female,0,0,36, Trinadad&Tobago, <=50K
45, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, >50K
32, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Philippines, >50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, Canada, >50K
21, State-gov, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,10, Dominican-Republic, <=50K
36, Private, Some-college, Divorced, Exec-managerial, Own-child, Other, Female,0,0,25, Scotland, <=50K
27, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, Other, Female,0,0,45, Vietnam, <=50K
32, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,18968,0,50, Columbia, >50K
35, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60, Yugoslavia, <=50K
23, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Mexico, <=50K
53, Local-gov, Bachelors, Widowed, Exec-managerial, Husband, Black, Male,0,0,40, Yugoslavia, <=50K
58, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, El-Salvador, >50K
41, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, Black, Female,0,0,50, Mexico, <=50K
40, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Female,0,0,50, United-States, <=50K
22, Private, HS-grad, Divorced, Handlers-cleaners, Own-child, White, Male,0,0,35, Columbia, <=50K
32, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Black, Female,0,0,40, England, <=50K
58, Private, Bachelors, Married-civ-spouse, Sales, Husband, Other, Male,0,0,50, Ecuador, >50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,45, Greece, >50K
29, Self-emp-not-inc, Bachelors, Separated, Exec-managerial, Wife, Black, Female,0,0,15, Canada, <=50K
27, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
59, State-gov, Some-college, Widowed, Handlers-cleaners, Unmarried, Asian-Pac-Islander, Female,0,0,35, Yugoslavia, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, Other, Male,0,0,40, United-States, <=50K
29, Private, Some-college, Married-civ-spouse, Tech-support, Own-child, Amer-Indian-Eskimo, Female,0,0,35, Thailand, <=50K
44, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,2685,0,60, England, >50K
26, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40, Haiti, <=50K
51, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Other, Male,0,0,40, Haiti, <=50K
60, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,45, El-Salvador, >50K
30, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,45, Ecuador, <=50K
52, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,50, Poland, >50K
78, Federal-gov, 7th-8th, Widowed, Adm-clerical, Not-in-family, Other, Male,0,0,10, Nicaragua, <=50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,54, Nicaragua, >50K
41, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Germany, <=50K
45, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,60, South, >50K
57, Federal-gov, 7th-8th, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,30, France, <=50K
26, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Black, Female,0,1295,40, India, <=50K
51, Local-gov, HS-grad, Widowed, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
27, Private, Bachelors, Separated, Other-service, Wife, Other, Male,0,0,40, Mexico, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,50, Hungary, >50K
51, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Yugoslavia, <=50K
24, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Not-in-family, Other, Male,0,0,40, Cuba, <=50K
50, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Female,15024,0,45, Ecuador, >50K
37, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,54, Ireland, >50K
28, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,40, Poland, <=50K
31, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Dominican-Republic, >50K
30, Self-emp-not-inc, 10th, Never-married, Sales, Not-in-family, Other, Female,0,0,54, Laos, <=50K
31, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,30, Mexico, <=50K
46, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
58, Self-emp-not-inc, Some-college, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,40, United-States, <=50K
26, Private, 11th, Never-married, Adm-clerical, Own-child, Other, Female,0,0,30, El-Salvador, <=50K
