,type,this_epoch,total_epochs,batch_num,loss
1,epoch,1,1250,1,206804.06
3,epoch,2,1250,1,127282.04
5,epoch,3,1250,1,75677.13
7,epoch,4,1250,1,50028.895
9,epoch,5,1250,1,43818.992
11,epoch,6,1250,1,47395.035
13,epoch,7,1250,1,51615.31
15,epoch,8,1250,1,53550.824
17,epoch,9,1250,1,53003.77
19,epoch,10,1250,1,50813.87
21,epoch,11,1250,1,48172.992
23,epoch,12,1250,1,46115.863
25,epoch,13,1250,1,44756.555
27,epoch,14,1250,1,44039.42
29,epoch,15,1250,1,43879.785
31,epoch,16,1250,1,43996.973
33,epoch,17,1250,1,43999.242
35,epoch,18,1250,1,43689.027
37,epoch,19,1250,1,43269.016
39,epoch,20,1250,1,43039.055
41,epoch,21,1250,1,43133.996
43,epoch,22,1250,1,43279.113
45,epoch,23,1250,1,43326.4
47,epoch,24,1250,1,43158.992
49,epoch,25,1250,1,42774.67
51,epoch,26,1250,1,42327.13
53,epoch,27,1250,1,42066.207
55,epoch,28,1250,1,41872.26
57,epoch,29,1250,1,41728.82
59,epoch,30,1250,1,41559.754
61,epoch,31,1250,1,41324.402
63,epoch,32,1250,1,41083.805
65,epoch,33,1250,1,40829.21
67,epoch,34,1250,1,40620.688
69,epoch,35,1250,1,40476.207
71,epoch,36,1250,1,40323.4
73,epoch,37,1250,1,40132.29
75,epoch,38,1250,1,39909.527
77,epoch,39,1250,1,39669.76
79,epoch,40,1250,1,39439.234
81,epoch,41,1250,1,39226.816
83,epoch,42,1250,1,39014.33
85,epoch,43,1250,1,38784.996
87,epoch,44,1250,1,38525.266
89,epoch,45,1250,1,38264.03
91,epoch,46,1250,1,38119.207
93,epoch,47,1250,1,38019.38
95,epoch,48,1250,1,37796.59
97,epoch,49,1250,1,37547.152
99,epoch,50,1250,1,37363.938
101,epoch,51,1250,1,37200.742
103,epoch,52,1250,1,36994.418
105,epoch,53,1250,1,36752.11
107,epoch,54,1250,1,36530.676
109,epoch,55,1250,1,36369.246
111,epoch,56,1250,1,36214.746
113,epoch,57,1250,1,36008.105
115,epoch,58,1250,1,35792.656
117,epoch,59,1250,1,35612.22
119,epoch,60,1250,1,35427.98
121,epoch,61,1250,1,35211.29
123,epoch,62,1250,1,35004.21
125,epoch,63,1250,1,34826.566
127,epoch,64,1250,1,34632.94
129,epoch,65,1250,1,34423.402
131,epoch,66,1250,1,34236.31
133,epoch,67,1250,1,34044.316
135,epoch,68,1250,1,33830.887
137,epoch,69,1250,1,33630.62
139,epoch,70,1250,1,33452.184
141,epoch,71,1250,1,33258.723
143,epoch,72,1250,1,33057.996
145,epoch,73,1250,1,32863.066
147,epoch,74,1250,1,32657.467
149,epoch,75,1250,1,32444.416
151,epoch,76,1250,1,32236.184
153,epoch,77,1250,1,32008.607
155,epoch,78,1250,1,31758.043
157,epoch,79,1250,1,31549.297
159,epoch,80,1250,1,31332.7
161,epoch,81,1250,1,31090.41
163,epoch,82,1250,1,30854.836
165,epoch,83,1250,1,30641.49
167,epoch,84,1250,1,30376.424
169,epoch,85,1250,1,30075.5
171,epoch,86,1250,1,29784.533
173,epoch,87,1250,1,29582.639
175,epoch,88,1250,1,29392.28
177,epoch,89,1250,1,29126.594
179,epoch,90,1250,1,28845.693
181,epoch,91,1250,1,28589.828
183,epoch,92,1250,1,28376.434
185,epoch,93,1250,1,28125.732
187,epoch,94,1250,1,27865.477
189,epoch,95,1250,1,27600.26
191,epoch,96,1250,1,27360.982
193,epoch,97,1250,1,27133.854
195,epoch,98,1250,1,26886.492
197,epoch,99,1250,1,26635.562
199,epoch,100,1250,1,26387.678
201,epoch,101,1250,1,26162.6
203,epoch,102,1250,1,25939.836
205,epoch,103,1250,1,25701.408
207,epoch,104,1250,1,25461.734
209,epoch,105,1250,1,25229.928
211,epoch,106,1250,1,25011.672
213,epoch,107,1250,1,24792.816
215,epoch,108,1250,1,24566.186
217,epoch,109,1250,1,24338.004
219,epoch,110,1250,1,24109.229
221,epoch,111,1250,1,23881.81
223,epoch,112,1250,1,23645.617
