Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.94,0.92,0.79,0.21
moral,0.8,0.77,0.45,0.1
verw,0.89,0.78,0.47,0.01
sparkont,0.75,0.76,0.38,0.1
beszeit,0.95,0.93,0.78,0.2
rate,0.91,0.92,0.73,0.33
famges,0.82,0.8,0.53,0.11
buerge,0.35,0.43,0.15,0.06
wohnzeit,0.95,0.94,0.81,0.35
verm,0.98,0.98,0.93,0.52
weitkred,0.53,0.58,0.27,0.07
wohn,0.75,0.78,0.5,0.18
bishkred,0.69,0.62,0.35,0.04
beruf,0.71,0.69,0.39,0.02
pers,0.58,0.67,0.41,0.21
telef,0.97,0.98,0.94,0.69
gastarb,0.32,0.42,0.19,0.09
kredit,0.85,0.89,0.74,0.44
