value,frequency,column
Male,0.8032820097244733,sex
Female,0.19671799027552675,sex
25 - 45,0.5688816855753647,age_cat
Less than 25,0.21981361426256077,age_cat
Greater than 45,0.21130470016207456,age_cat
African-American,0.5133711507293355,race
Caucasian,0.33934359805510533,race
Hispanic,0.08670988654781199,race
Other,0.05895461912479741,race
Native American,0.0012155591572123178,race
Asian,0.0004051863857374392,race
F,0.6410048622366289,c_charge_degree
M,0.35899513776337116,c_charge_degree
0,0.5133711507293355,is_recid
1,0.4866288492706645,is_recid
Low,0.5439627228525121,score_text
Medium,0.2631685575364668,score_text
High,0.19286871961102106,score_text
0,0.5376823338735819,two_year_recid
1,0.46231766612641817,two_year_recid
