Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.92,0.9,0.74,0.15
moral,0.79,0.74,0.43,0.08
verw,0.89,0.79,0.46,0.03
sparkont,0.75,0.74,0.37,0.09
beszeit,0.95,0.93,0.79,0.19
rate,0.89,0.9,0.67,0.28
famges,0.79,0.76,0.48,0.09
buerge,0.25,0.33,0.1,0.05
wohnzeit,0.93,0.92,0.76,0.31
verm,0.98,0.97,0.91,0.46
weitkred,0.48,0.54,0.24,0.06
wohn,0.67,0.72,0.4,0.15
bishkred,0.66,0.58,0.32,0.01
beruf,0.7,0.68,0.37,0.03
pers,0.49,0.59,0.32,0.17
telef,0.97,0.98,0.94,0.71
gastarb,0.13,0.21,0.07,0.03
kredit,0.85,0.89,0.74,0.44
