Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.99,0.99,0.98,0.73
moral,0.79,0.74,0.44,0.07
verw,0.89,0.77,0.45,0.01
sparkont,0.99,0.98,0.94,0.51
beszeit,0.95,0.92,0.78,0.16
rate,0.92,0.91,0.73,0.31
famges,0.97,0.97,0.91,0.51
buerge,0.29,0.37,0.12,0.05
wohnzeit,0.93,0.92,0.77,0.32
verm,1.0,1.0,0.99,0.82
weitkred,0.49,0.54,0.24,0.06
wohn,0.98,0.98,0.93,0.6
bishkred,0.66,0.58,0.32,0.01
beruf,0.69,0.67,0.35,0.02
pers,0.48,0.58,0.32,0.16
telef,0.98,0.98,0.95,0.73
gastarb,0.25,0.36,0.14,0.07
kredit,0.8,0.85,0.66,0.38
