Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.96,0.95,0.86,0.34
moral,0.79,0.76,0.44,0.07
verw,0.89,0.79,0.48,0.02
sparkont,0.76,0.76,0.39,0.11
beszeit,0.96,0.94,0.82,0.22
rate,0.91,0.91,0.71,0.29
famges,0.8,0.78,0.51,0.1
buerge,0.33,0.41,0.14,0.06
wohnzeit,0.94,0.93,0.78,0.34
verm,0.99,0.99,0.95,0.58
weitkred,0.51,0.54,0.26,0.04
wohn,0.72,0.76,0.47,0.19
bishkred,0.64,0.57,0.31,0.02
beruf,0.71,0.69,0.38,0.02
pers,0.57,0.66,0.4,0.21
telef,0.98,0.98,0.95,0.74
gastarb,0.28,0.38,0.16,0.08
kredit,0.84,0.88,0.72,0.43
