Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.9,0.76,0.16
moral,0.77,0.72,0.4,0.06
verw,0.9,0.8,0.47,0.03
sparkont,0.73,0.72,0.35,0.08
beszeit,0.95,0.93,0.78,0.18
rate,0.9,0.91,0.7,0.29
famges,0.78,0.76,0.48,0.09
buerge,0.27,0.35,0.11,0.05
wohnzeit,0.93,0.92,0.76,0.33
verm,0.97,0.97,0.91,0.46
weitkred,0.46,0.52,0.22,0.06
wohn,0.66,0.71,0.4,0.15
bishkred,0.65,0.56,0.32,0.01
beruf,0.72,0.71,0.39,0.04
pers,0.53,0.63,0.36,0.19
telef,0.97,0.98,0.94,0.71
gastarb,0.15,0.24,0.08,0.04
kredit,0.82,0.87,0.7,0.41
