Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.85
moral,0.81,0.78,0.47,0.09
verw,0.89,0.79,0.49,0.02
sparkont,1.0,1.0,0.99,0.8
beszeit,0.96,0.94,0.81,0.23
rate,0.92,0.92,0.73,0.32
famges,1.0,1.0,0.99,0.78
buerge,0.26,0.34,0.1,0.04
wohnzeit,0.93,0.92,0.76,0.28
verm,1.0,1.0,0.98,0.78
weitkred,0.53,0.57,0.27,0.06
wohn,1.0,1.0,1.0,0.9
bishkred,0.69,0.63,0.36,0.04
beruf,0.73,0.71,0.4,0.03
pers,0.6,0.69,0.43,0.23
telef,0.97,0.98,0.94,0.69
gastarb,1.0,1.0,0.99,0.87
kredit,0.84,0.88,0.72,0.42
