46, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
48, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Ireland, >50K
65, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,30, England, <=50K
23, Private, HS-grad, Never-married, Other-service, Not-in-family, Other, Male,0,0,35, El-Salvador, <=50K
36, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, >50K
30, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
25, Private, HS-grad, Never-married, Other-service, Own-child, Other, Female,0,0,40, Ecuador, <=50K
36, Private, Bachelors, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
55, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,35, Dominican-Republic, <=50K
37, Local-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40, Scotland, <=50K
21, Private, Assoc-voc, Never-married, Other-service, Husband, White, Male,14997,0,54, Scotland, <=50K
56, Private, HS-grad, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
19, Private, Bachelors, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,30, Nicaragua, >50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,50, Cambodia, >50K
56, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,30, Cuba, <=50K
18, Private, Some-college, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Poland, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,40, Vietnam, <=50K
53, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Columbia, >50K
55, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,40, Yugoslavia, <=50K
24, Private, Bachelors, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,65, Jamaica, <=50K
44, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,3, Yugoslavia, <=50K
30, Federal-gov, HS-grad, Never-married, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
60, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,60, Jamaica, <=50K
58, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Trinadad&Tobago, <=50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, China, <=50K
28, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
64, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Black, Female,14685,0,50, Dominican-Republic, <=50K
44, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Germany, <=50K
45, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Cambodia, <=50K
41, Private, HS-grad, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
54, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,50, Thailand, <=50K
22, Private, Some-college, Never-married, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Female,0,0,48, Puerto-Rico, <=50K
22, Private, Some-college, Never-married, Sales, Not-in-family, Black, Male,0,0,98, El-Salvador, <=50K
33, Private, Some-college, Never-married, Farming-fishing, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Guatemala, <=50K
24, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,35, Guatemala, <=50K
45, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,60, Ecuador, <=50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,35, Nicaragua, >50K
31, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,50, Japan, >50K
21, Private, HS-grad, Never-married, Protective-serv, Own-child, White, Female,0,0,50, Japan, <=50K
35, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, France, <=50K
40, Private, Assoc-voc, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,54, Laos, <=50K
44, Private, Assoc-voc, Married-civ-spouse, Other-service, Unmarried, Black, Male,0,0,38, Poland, <=50K
37, Local-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Other-relative, Asian-Pac-Islander, Male,0,0,45, England, >50K
43, Local-gov, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,0,0,25, Hong, <=50K
44, Local-gov, HS-grad, Separated, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,60, Mexico, <=50K
59, Self-emp-not-inc, 9th, Separated, Other-service, Unmarried, Other, Male,0,0,40, Jamaica, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,15024,0,54, Hong, >50K
48, Self-emp-inc, Masters, Divorced, Adm-clerical, Own-child, Black, Female,6085,0,45, Yugoslavia, <=50K
35, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,1744,50, Cuba, >50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Ecuador, <=50K
