Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.98,0.97,0.92,0.47
moral,0.79,0.76,0.44,0.08
verw,0.87,0.74,0.41,0.0
sparkont,0.98,0.98,0.9,0.46
beszeit,0.95,0.93,0.79,0.23
rate,0.92,0.92,0.75,0.31
famges,0.95,0.95,0.83,0.41
buerge,0.31,0.38,0.13,0.05
wohnzeit,0.92,0.92,0.75,0.3
verm,0.99,0.99,0.97,0.64
weitkred,0.5,0.56,0.25,0.07
wohn,0.8,0.82,0.57,0.2
bishkred,0.67,0.6,0.34,0.02
beruf,0.72,0.69,0.39,0.02
pers,0.61,0.69,0.43,0.23
telef,0.97,0.98,0.94,0.69
gastarb,0.22,0.32,0.12,0.06
kredit,0.86,0.9,0.76,0.46
