63, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, >50K
42, Private, HS-grad, Divorced, Sales, Husband, Other, Male,0,0,40, Iran, >50K
21, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,50, England, <=50K
54, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,50, El-Salvador, >50K
23, Private, HS-grad, Never-married, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, <=50K
67, Private, 1st-4th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,24, El-Salvador, <=50K
31, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, Other, Female,0,0,40, Ecuador, <=50K
57, Private, Assoc-acdm, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Dominican-Republic, <=50K
50, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,1921,40, Scotland, <=50K
34, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, Scotland, <=50K
35, Private, HS-grad, Married-civ-spouse, Armed-Forces, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
59, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,50, Nicaragua, >50K
57, Private, Some-college, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,40, Cambodia, <=50K
26, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
25, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,44, Philippines, <=50K
30, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, Black, Female,0,0,50, Vietnam, <=50K
31, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,15, Columbia, <=50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,50, Yugoslavia, >50K
29, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Jamaica, >50K
