25, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
39, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,44, Ireland, >50K
20, Private, Assoc-voc, Never-married, Farming-fishing, Own-child, White, Female,0,0,20, England, <=50K
26, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K
54, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
21, Private, 11th, Never-married, Prof-specialty, Husband, White, Female,3541,0,40, El-Salvador, >50K
21, Private, Masters, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,36, Ecuador, <=50K
57, Self-emp-inc, Assoc-voc, Divorced, Exec-managerial, Wife, White, Male,0,0,54, Yugoslavia, <=50K
17, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,30, Ecuador, <=50K
38, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, South, <=50K
22, Private, 12th, Never-married, Machine-op-inspct, Husband, White, Female,0,0,40, South, <=50K
34, Private, HS-grad, Married-civ-spouse, Adm-clerical, Other-relative, Asian-Pac-Islander, Female,0,0,25, Ireland, <=50K
46, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, Nicaragua, >50K
35, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,35, Canada, <=50K
31, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, Black, Male,0,0,40, Dominican-Republic, <=50K
18, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Poland, <=50K
22, Private, HS-grad, Married-civ-spouse, Tech-support, Own-child, White, Female,0,0,37, Vietnam, <=50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Columbia, >50K
32, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, Yugoslavia, <=50K
19, Private, 9th, Never-married, Prof-specialty, Own-child, Other, Female,0,0,40, Japan, <=50K
39, Private, Bachelors, Separated, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, <=50K
32, Federal-gov, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,35, Ecuador, <=50K
21, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,10, Jamaica, <=50K
28, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
38, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, China, <=50K
53, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7667,0,45, El-Salvador, >50K
30, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Male,0,0,40, Dominican-Republic, <=50K
46, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, Germany, <=50K
50, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Husband, White, Female,0,0,94, Cambodia, <=50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Canada, >50K
23, State-gov, Some-college, Never-married, Handlers-cleaners, Unmarried, Black, Female,0,0,25, Yugoslavia, <=50K
40, Private, Prof-school, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,60, Trinadad&Tobago, <=50K
52, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,52, Scotland, <=50K
21, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,25, El-Salvador, <=50K
24, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Guatemala, <=50K
31, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,60, Guatemala, <=50K
28, State-gov, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,70, Ecuador, <=50K
21, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,20, Dominican-Republic, <=50K
53, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, Nicaragua, >50K
24, Local-gov, Assoc-voc, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Laos, <=50K
38, Private, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,0,45, Japan, >50K
30, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,15024,0,50, France, >50K
26, Private, Assoc-voc, Never-married, Exec-managerial, Husband, White, Male,0,0,50, Mexico, <=50K
46, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,44, Poland, >50K
35, Federal-gov, 9th, Divorced, Other-service, Unmarried, Black, Male,0,0,44, England, <=50K
35, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, Hong, <=50K
43, Federal-gov, HS-grad, Separated, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,50, Nicaragua, <=50K
55, Self-emp-not-inc, Assoc-voc, Widowed, Prof-specialty, Unmarried, White, Male,0,0,80, Japan, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Honduras, <=50K
30, Private, Masters, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
24, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Cuba, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Ecuador, <=50K
50, Self-emp-inc, Assoc-acdm, Never-married, Other-service, Not-in-family, White, Female,0,0,40, India, <=50K
23, Private, Some-college, Married-civ-spouse, Prof-specialty, Other-relative, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
21, State-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,30, Dominican-Republic, <=50K
39, Private, 10th, Married-civ-spouse, Tech-support, Not-in-family, White, Female,0,0,44, Jamaica, <=50K
31, Private, HS-grad, Divorced, Exec-managerial, Husband, Other, Female,2181,0,54, Japan, >50K
49, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,15, Taiwan, >50K
32, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, Thailand, <=50K
31, Private, 11th, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,60, Ecuador, <=50K
51, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Canada, <=50K
34, Private, HS-grad, Divorced, Craft-repair, Husband, White, Female,0,0,40, Yugoslavia, >50K
30, Private, Masters, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,35, Taiwan, <=50K
28, Private, Some-college, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,25, Greece, <=50K
40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,60, Poland, <=50K
22, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,37, Haiti, <=50K
54, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, White, Female,0,0,50, Puerto-Rico, <=50K
26, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,60, Jamaica, <=50K
28, Private, 7th-8th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, India, <=50K
55, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,50, France, <=50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Germany, <=50K
44, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Black, Male,0,0,40, Ireland, <=50K
34, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, Japan, >50K
18, Private, 11th, Never-married, Farming-fishing, Own-child, Other, Female,0,0,20, Columbia, <=50K
33, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,40, Jamaica, <=50K
34, Private, Doctorate, Divorced, Craft-repair, Wife, White, Female,0,0,40, Ecuador, <=50K
27, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Taiwan, <=50K
28, Private, HS-grad, Never-married, Transport-moving, Own-child, Black, Male,0,0,40, Dominican-Republic, <=50K
31, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Germany, <=50K
43, Private, 5th-6th, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,0,0,35, South, >50K
18, Private, 11th, Never-married, Tech-support, Own-child, Black, Female,0,0,30, Canada, <=50K
25, Private, Some-college, Never-married, Craft-repair, Unmarried, Black, Female,0,0,40, Dominican-Republic, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,1977,46, Honduras, >50K
18, Private, Some-college, Never-married, Farming-fishing, Own-child, Other, Female,0,0,14, Ireland, <=50K
53, Self-emp-inc, Bachelors, Divorced, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
30, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Trinadad&Tobago, <=50K
23, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, Columbia, <=50K
59, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,35, China, <=50K
20, Private, Some-college, Never-married, Farming-fishing, Unmarried, White, Female,0,0,40, Hungary, <=50K
24, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,69, Thailand, <=50K
52, Local-gov, Doctorate, Divorced, Sales, Not-in-family, Other, Male,0,0,40, Guatemala, >50K
38, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,1977,40, Guatemala, <=50K
31, Private, HS-grad, Married-spouse-absent, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Trinadad&Tobago, <=50K
19, Private, HS-grad, Never-married, Sales, Unmarried, Black, Female,0,0,25, China, <=50K
67, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Unmarried, White, Male,0,0,20, El-Salvador, <=50K
32, Private, HS-grad, Divorced, Other-service, Wife, White, Female,0,0,30, Taiwan, <=50K
38, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,35, Taiwan, <=50K
29, Private, Some-college, Never-married, Exec-managerial, Husband, White, Male,0,0,20, Thailand, <=50K
24, Private, HS-grad, Never-married, Other-service, Husband, White, Male,0,0,40, Scotland, <=50K
41, Private, HS-grad, Never-married, Tech-support, Husband, White, Female,0,0,40, France, >50K
29, Local-gov, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, China, >50K
20, Local-gov, 11th, Married-civ-spouse, Sales, Own-child, White, Female,0,0,40, Japan, <=50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,44, Thailand, >50K
18, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,30, Portugal, <=50K
19, Private, Prof-school, Married-civ-spouse, Farming-fishing, Own-child, Amer-Indian-Eskimo, Male,0,0,54, Ireland, <=50K
28, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Husband, White, Male,0,0,50, Trinadad&Tobago, <=50K
64, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,1979,40, England, <=50K
26, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,10333,0,40, Haiti, >50K
39, Self-emp-not-inc, HS-grad, Separated, Adm-clerical, Wife, White, Male,0,0,40, Thailand, >50K
27, Self-emp-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,10234,0,40, Trinadad&Tobago, <=50K
52, Without-pay, Masters, Widowed, Prof-specialty, Husband, White, Male,0,0,40, Guatemala, <=50K
21, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K
38, Private, HS-grad, Widowed, Sales, Husband, White, Male,0,0,25, Greece, <=50K
27, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,60, Scotland, <=50K
38, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Thailand, <=50K
17, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,8, Outlying-US(Guam-USVI-etc), <=50K
