value,frequency,column
4,0.2675,laufkont
3,0.26625,laufkont
1,0.2375,laufkont
2,0.22875,laufkont
2,0.52125,moral
4,0.325,moral
3,0.07625,moral
1,0.04,moral
0,0.0375,moral
3,0.26,verw
0,0.2525,verw
2,0.18625,verw
1,0.10875,verw
9,0.095,verw
6,0.0475,verw
5,0.02875,verw
8,0.00875,verw
10,0.0075,verw
4,0.005,verw
3,0.215,sparkont
1,0.2125,sparkont
2,0.19875,sparkont
4,0.1925,sparkont
5,0.18125,sparkont
3,0.3525,beszeit
5,0.24,beszeit
4,0.1825,beszeit
2,0.16875,beszeit
1,0.05625,beszeit
4,0.4875,rate
2,0.22875,rate
3,0.1475,rate
1,0.13625,rate
3,0.27125,famges
1,0.2575,famges
2,0.24875,famges
4,0.2225,famges
1,0.915,buerge
3,0.06625,buerge
2,0.01875,buerge
4,0.4175,wohnzeit
2,0.32375,wohnzeit
1,0.1375,wohnzeit
3,0.12125,wohnzeit
4,0.28125,verm
3,0.25375,verm
1,0.2325,verm
2,0.2325,verm
3,0.81,weitkred
1,0.15625,weitkred
2,0.03375,weitkred
1,0.35,wohn
2,0.32875,wohn
3,0.32125,wohn
1,0.6225,bishkred
2,0.33875,bishkred
3,0.02375,bishkred
4,0.015,bishkred
3,0.66125,beruf
2,0.1725,beruf
4,0.15125,beruf
1,0.015,beruf
2,0.86,pers
1,0.14,pers
1,0.615,telef
2,0.385,telef
2,0.53,gastarb
1,0.47,gastarb
1,0.74625,kredit
0,0.25375,kredit
