25, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
30, Private, HS-grad, Divorced, Sales, Not-in-family, Other, Male,0,0,30, Iran, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, England, <=50K
43, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, El-Salvador, <=50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, >50K
21, Private, 11th, Never-married, Sales, Own-child, Black, Female,0,0,20, El-Salvador, <=50K
45, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,54, Ecuador, <=50K
70, Self-emp-inc, 7th-8th, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,50, Yugoslavia, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Dominican-Republic, <=50K
55, Local-gov, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, Scotland, <=50K
41, Private, 1st-4th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Scotland, >50K
33, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,35, Ireland, <=50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,40, Nicaragua, >50K
30, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Other, Female,5469,0,45, Cambodia, <=50K
26, Private, HS-grad, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
17, Private, 12th, Never-married, Handlers-cleaners, Own-child, Other, Female,0,0,20, Poland, <=50K
27, Private, HS-grad, Divorced, Transport-moving, Unmarried, Black, Female,0,0,40, Vietnam, <=50K
54, Private, Assoc-voc, Divorced, Craft-repair, Not-in-family, White, Male,0,0,30, Columbia, <=50K
49, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,20, Yugoslavia, <=50K
51, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,1599,30, Jamaica, >50K
