Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.98,0.74
moral,0.81,0.77,0.45,0.07
verw,0.9,0.79,0.47,0.02
sparkont,0.98,0.98,0.93,0.54
beszeit,0.95,0.94,0.8,0.22
rate,0.92,0.92,0.74,0.29
famges,0.98,0.98,0.92,0.52
buerge,0.3,0.38,0.12,0.04
wohnzeit,0.92,0.91,0.73,0.27
verm,1.0,1.0,1.0,0.88
weitkred,0.5,0.56,0.25,0.06
wohn,0.98,0.99,0.96,0.65
bishkred,0.65,0.58,0.31,0.01
beruf,0.71,0.69,0.38,0.03
pers,0.51,0.61,0.34,0.17
telef,0.95,0.97,0.91,0.64
gastarb,0.96,0.97,0.93,0.68
kredit,0.83,0.88,0.72,0.42
