Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.8
moral,0.79,0.75,0.42,0.08
verw,0.9,0.79,0.52,0.01
sparkont,1.0,1.0,0.99,0.78
beszeit,0.94,0.92,0.76,0.15
rate,0.92,0.92,0.74,0.31
famges,1.0,1.0,0.99,0.74
buerge,0.31,0.39,0.13,0.06
wohnzeit,0.93,0.93,0.78,0.3
verm,1.0,1.0,0.99,0.81
weitkred,0.49,0.53,0.25,0.04
wohn,1.0,1.0,1.0,0.87
bishkred,0.67,0.61,0.34,0.03
beruf,0.75,0.7,0.43,0.01
pers,0.6,0.69,0.43,0.23
telef,0.97,0.98,0.93,0.69
gastarb,1.0,1.0,0.99,0.89
kredit,0.85,0.89,0.74,0.44
