Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.92,0.77,0.2
moral,0.81,0.78,0.46,0.1
verw,0.9,0.8,0.52,0.02
sparkont,0.7,0.7,0.32,0.07
beszeit,0.95,0.93,0.78,0.2
rate,0.91,0.91,0.72,0.31
famges,0.8,0.77,0.5,0.11
buerge,0.31,0.39,0.13,0.04
wohnzeit,0.94,0.94,0.8,0.34
verm,0.98,0.98,0.93,0.49
weitkred,0.5,0.56,0.25,0.06
wohn,0.69,0.73,0.43,0.15
bishkred,0.66,0.58,0.32,0.03
beruf,0.72,0.72,0.39,0.05
pers,0.63,0.71,0.46,0.24
telef,0.96,0.97,0.93,0.67
gastarb,0.24,0.35,0.14,0.07
kredit,0.86,0.9,0.76,0.46
