Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.99,0.99,0.98,0.7
moral,0.78,0.73,0.42,0.07
verw,0.89,0.78,0.45,0.01
sparkont,0.98,0.98,0.93,0.55
beszeit,0.95,0.94,0.81,0.22
rate,0.88,0.88,0.64,0.27
famges,0.98,0.98,0.93,0.56
buerge,0.27,0.35,0.11,0.05
wohnzeit,0.93,0.93,0.77,0.31
verm,1.0,1.0,1.0,0.86
weitkred,0.46,0.5,0.22,0.03
wohn,0.98,0.98,0.95,0.62
bishkred,0.67,0.59,0.33,0.01
beruf,0.69,0.67,0.36,0.02
pers,0.51,0.61,0.34,0.17
telef,0.96,0.97,0.93,0.68
gastarb,0.96,0.97,0.93,0.67
kredit,0.86,0.9,0.75,0.45
