Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.92,0.9,0.75,0.16
moral,0.78,0.74,0.41,0.08
verw,0.9,0.8,0.47,0.03
sparkont,0.74,0.73,0.36,0.08
beszeit,0.95,0.93,0.79,0.2
rate,0.91,0.91,0.72,0.29
famges,0.78,0.76,0.47,0.09
buerge,0.25,0.34,0.1,0.05
wohnzeit,0.92,0.92,0.75,0.29
verm,0.98,0.97,0.91,0.46
weitkred,0.46,0.52,0.22,0.05
wohn,0.68,0.72,0.41,0.15
bishkred,0.65,0.56,0.32,0.01
beruf,0.71,0.7,0.38,0.04
pers,0.51,0.61,0.34,0.18
telef,0.97,0.98,0.93,0.69
gastarb,0.14,0.23,0.08,0.04
kredit,0.85,0.89,0.74,0.44
