Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.8
moral,0.78,0.75,0.42,0.08
verw,0.89,0.77,0.48,0.0
sparkont,0.99,0.99,0.97,0.66
beszeit,0.96,0.94,0.82,0.24
rate,0.9,0.9,0.68,0.25
famges,0.99,0.99,0.97,0.65
buerge,0.29,0.36,0.12,0.03
wohnzeit,0.94,0.93,0.8,0.36
verm,1.0,1.0,1.0,0.86
weitkred,0.54,0.59,0.28,0.07
wohn,0.99,0.99,0.98,0.76
bishkred,0.68,0.6,0.34,0.02
beruf,0.73,0.7,0.4,0.02
pers,0.62,0.71,0.45,0.24
telef,0.96,0.97,0.93,0.68
gastarb,0.98,0.99,0.97,0.78
kredit,0.83,0.88,0.71,0.42
