Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.98,0.98,0.93,0.53
moral,0.8,0.77,0.45,0.09
verw,0.89,0.78,0.47,0.02
sparkont,0.95,0.95,0.79,0.37
beszeit,0.95,0.94,0.79,0.22
rate,0.9,0.91,0.7,0.32
famges,0.96,0.95,0.85,0.43
buerge,0.34,0.41,0.14,0.04
wohnzeit,0.94,0.93,0.79,0.34
verm,1.0,1.0,0.99,0.84
weitkred,0.53,0.58,0.27,0.07
wohn,0.96,0.96,0.88,0.5
bishkred,0.68,0.61,0.34,0.03
beruf,0.71,0.69,0.38,0.02
pers,0.55,0.65,0.38,0.2
telef,0.97,0.98,0.93,0.69
gastarb,0.85,0.89,0.74,0.44
kredit,0.85,0.89,0.74,0.44
