26, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
56, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,50, Ireland, >50K
55, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,1887,40, England, <=50K
49, Private, HS-grad, Divorced, Other-service, Husband, White, Male,0,0,40, El-Salvador, <=50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,4548,0,40, United-States, >50K
34, Private, 1st-4th, Never-married, Prof-specialty, Husband, White, Female,0,0,40, El-Salvador, <=50K
28, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Ecuador, <=50K
27, Private, Assoc-voc, Divorced, Craft-repair, Wife, Other, Male,0,0,40, Yugoslavia, <=50K
21, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Female,0,0,20, Dominican-Republic, <=50K
53, Local-gov, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, South, <=50K
51, Private, 5th-6th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, South, <=50K
29, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Ireland, <=50K
26, Private, Bachelors, Never-married, Sales, Husband, White, Female,0,0,40, Nicaragua, >50K
72, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Female,27103,0,30, Canada, >50K
24, Private, Masters, Married-civ-spouse, Sales, Not-in-family, Black, Male,0,0,40, Dominican-Republic, <=50K
28, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Poland, <=50K
41, Private, Bachelors, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, Vietnam, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,72, Columbia, >50K
18, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Yugoslavia, <=50K
29, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, White, Female,5178,0,50, Japan, >50K
31, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,99999,0,50, Yugoslavia, >50K
27, Federal-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, Other, Male,0,0,60, Ecuador, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,72, Jamaica, >50K
34, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
62, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, China, <=50K
41, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, El-Salvador, <=50K
33, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Male,0,0,40, Dominican-Republic, >50K
36, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, Germany, <=50K
25, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, Cambodia, <=50K
67, Private, HS-grad, Separated, Exec-managerial, Not-in-family, White, Male,0,0,20, Canada, >50K
46, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, Other, Female,0,0,40, Yugoslavia, <=50K
29, Private, Masters, Never-married, Exec-managerial, Own-child, White, Male,0,0,50, Thailand, <=50K
37, Private, Prof-school, Married-civ-spouse, Sales, Own-child, Asian-Pac-Islander, Female,33420,0,29, Scotland, >50K
47, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, El-Salvador, <=50K
65, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,20, Guatemala, <=50K
77, Private, 9th, Separated, Prof-specialty, Husband, White, Male,0,0,25, Guatemala, <=50K
60, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Ecuador, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,40, Dominican-Republic, <=50K
