value,frequency,column
4,0.3875,laufkont
1,0.275,laufkont
2,0.275,laufkont
3,0.0625,laufkont
2,0.53625,moral
4,0.28375,moral
3,0.08125,moral
1,0.05375,moral
0,0.045,moral
3,0.27875,verw
0,0.2425,verw
2,0.1825,verw
1,0.0975,verw
9,0.09625,verw
6,0.05125,verw
5,0.01875,verw
10,0.01375,verw
4,0.01125,verw
8,0.0075,verw
1,0.6125,sparkont
5,0.18125,sparkont
2,0.1,sparkont
3,0.06375,sparkont
4,0.0425,sparkont
3,0.345,beszeit
5,0.25,beszeit
2,0.17875,beszeit
4,0.16875,beszeit
1,0.0575,beszeit
4,0.46875,rate
2,0.2325,rate
3,0.16,rate
1,0.13875,rate
3,0.545,famges
2,0.3175,famges
4,0.0925,famges
1,0.045,famges
1,0.9,buerge
3,0.05625,buerge
2,0.04375,buerge
4,0.41,wohnzeit
2,0.32,wohnzeit
3,0.14,wohnzeit
1,0.13,wohnzeit
3,0.3225,verm
1,0.27625,verm
2,0.23625,verm
4,0.165,verm
3,0.79625,weitkred
1,0.1525,weitkred
2,0.05125,weitkred
2,0.7,wohn
1,0.185,wohn
3,0.115,wohn
1,0.64125,bishkred
2,0.32625,bishkred
3,0.02625,bishkred
4,0.00625,bishkred
3,0.6225,beruf
2,0.20625,beruf
4,0.14875,beruf
1,0.0225,beruf
2,0.85125,pers
1,0.14875,pers
1,0.5925,telef
2,0.4075,telef
2,0.96125,gastarb
1,0.03875,gastarb
1,0.7025,kredit
0,0.2975,kredit
