Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.81
moral,0.76,0.72,0.39,0.07
verw,0.89,0.78,0.44,0.02
sparkont,1.0,1.0,1.0,0.85
beszeit,0.94,0.92,0.76,0.15
rate,0.9,0.9,0.69,0.3
famges,1.0,1.0,0.99,0.77
buerge,0.28,0.36,0.11,0.04
wohnzeit,0.93,0.93,0.77,0.35
verm,1.0,1.0,0.99,0.78
weitkred,0.53,0.58,0.27,0.07
wohn,0.99,0.99,0.98,0.76
bishkred,0.64,0.56,0.31,0.01
beruf,0.72,0.71,0.4,0.03
pers,0.51,0.61,0.35,0.18
telef,0.96,0.97,0.93,0.68
gastarb,0.98,0.99,0.97,0.77
kredit,0.79,0.84,0.65,0.37
