Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.98,0.98,0.92,0.47
moral,0.79,0.75,0.43,0.08
verw,0.9,0.82,0.53,0.03
sparkont,0.99,0.98,0.94,0.56
beszeit,0.93,0.91,0.72,0.14
rate,0.92,0.92,0.73,0.3
famges,0.95,0.94,0.82,0.39
buerge,0.28,0.36,0.11,0.05
wohnzeit,0.92,0.92,0.75,0.29
verm,1.0,1.0,0.98,0.75
weitkred,0.48,0.54,0.24,0.06
wohn,0.74,0.77,0.48,0.18
bishkred,0.67,0.6,0.34,0.03
beruf,0.72,0.69,0.39,0.01
pers,0.57,0.66,0.4,0.21
telef,0.97,0.98,0.94,0.7
gastarb,0.28,0.39,0.16,0.08
kredit,0.87,0.9,0.76,0.47
