Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.91,0.78,0.19
moral,0.79,0.75,0.43,0.09
verw,0.9,0.8,0.49,0.01
sparkont,0.74,0.73,0.36,0.09
beszeit,0.95,0.94,0.8,0.24
rate,0.92,0.92,0.73,0.32
famges,0.79,0.76,0.48,0.11
buerge,0.32,0.4,0.13,0.05
wohnzeit,0.93,0.92,0.76,0.33
verm,0.97,0.97,0.9,0.45
weitkred,0.49,0.54,0.24,0.06
wohn,0.72,0.75,0.46,0.16
bishkred,0.67,0.6,0.34,0.03
beruf,0.72,0.7,0.4,0.02
pers,0.62,0.71,0.45,0.24
telef,0.96,0.97,0.93,0.68
gastarb,0.15,0.24,0.08,0.04
kredit,0.86,0.89,0.75,0.45
