25, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
30, Private, HS-grad, Divorced, Sales, Other-relative, White, Male,0,0,25, Jamaica, >50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, France, <=50K
41, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, England, >50K
34, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, United-States, <=50K
21, Private, 11th, Never-married, Sales, Own-child, Black, Female,0,0,20, England, <=50K
43, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,50, El-Salvador, <=50K
69, Self-emp-inc, 7th-8th, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,45, Yugoslavia, <=50K
30, Private, HS-grad, Never-married, Craft-repair, Other-relative, Black, Female,0,0,40, Ecuador, <=50K
54, Local-gov, HS-grad, Widowed, Craft-repair, Own-child, Black, Male,0,0,40, United-States, <=50K
40, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,30, Japan, <=50K
49, Self-emp-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Female,0,0,40, Philippines, >50K
30, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,5013,0,40, Canada, <=50K
26, Private, HS-grad, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
17, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Other, Female,0,0,20, South, <=50K
27, Private, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, Other, Female,0,0,40, Vietnam, <=50K
52, Self-emp-not-inc, Bachelors, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Male,0,0,25, Columbia, <=50K
48, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Other, Male,0,0,20, Yugoslavia, <=50K
50, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Other-relative, Asian-Pac-Islander, Female,0,1702,25, Mexico, >50K
45, Private, Bachelors, Separated, Exec-managerial, Not-in-family, Black, Male,0,0,50, Yugoslavia, <=50K
34, Federal-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Ecuador, <=50K
29, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Black, Female,0,0,40, Mexico, <=50K
44, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,50, Columbia, <=50K
34, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, England, <=50K
47, Private, Bachelors, Divorced, Prof-specialty, Unmarried, Other, Male,0,0,15, Ecuador, <=50K
59, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Greece, <=50K
51, Private, HS-grad, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,30, Canada, <=50K
67, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
39, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
28, Private, Masters, Married-civ-spouse, Handlers-cleaners, Own-child, Other, Male,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Tech-support, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
60, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, England, >50K
