value,frequency,column
4,0.40375,laufkont
1,0.27,laufkont
2,0.26375,laufkont
3,0.0625,laufkont
2,0.51125,moral
4,0.30875,moral
3,0.09375,moral
1,0.04625,moral
0,0.04,moral
3,0.29375,verw
0,0.23,verw
2,0.1875,verw
9,0.09875,verw
1,0.09,verw
6,0.05,verw
5,0.0175,verw
4,0.01125,verw
10,0.01125,verw
8,0.01,verw
1,0.59,sparkont
5,0.185,sparkont
2,0.10125,sparkont
3,0.0725,sparkont
4,0.05125,sparkont
3,0.33,beszeit
5,0.255,beszeit
2,0.185,beszeit
4,0.16625,beszeit
1,0.06375,beszeit
4,0.49,rate
2,0.22375,rate
3,0.1475,rate
1,0.13875,rate
3,0.54625,famges
2,0.315,famges
4,0.0875,famges
1,0.05125,famges
1,0.91125,buerge
3,0.0475,buerge
2,0.04125,buerge
4,0.4175,wohnzeit
2,0.29875,wohnzeit
3,0.15375,wohnzeit
1,0.13,wohnzeit
3,0.33625,verm
1,0.2775,verm
2,0.23125,verm
4,0.155,verm
3,0.81,weitkred
1,0.14,weitkred
2,0.05,weitkred
2,0.71375,wohn
1,0.18,wohn
3,0.10625,wohn
1,0.62625,bishkred
2,0.3375,bishkred
3,0.02875,bishkred
4,0.0075,bishkred
3,0.6475,beruf
2,0.19,beruf
4,0.145,beruf
1,0.0175,beruf
2,0.8575,pers
1,0.1425,pers
1,0.585,telef
2,0.415,telef
2,0.9675,gastarb
1,0.0325,gastarb
1,0.695,kredit
0,0.305,kredit
