Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.79
moral,0.81,0.77,0.46,0.07
verw,0.9,0.8,0.49,0.01
sparkont,1.0,1.0,0.99,0.78
beszeit,0.96,0.95,0.83,0.25
rate,0.9,0.9,0.7,0.29
famges,1.0,1.0,0.99,0.78
buerge,0.29,0.37,0.12,0.05
wohnzeit,0.95,0.94,0.81,0.34
verm,0.99,0.99,0.97,0.68
weitkred,0.54,0.6,0.28,0.09
wohn,1.0,1.0,1.0,0.95
bishkred,0.67,0.6,0.34,0.03
beruf,0.73,0.71,0.41,0.03
pers,0.6,0.69,0.43,0.23
telef,0.98,0.99,0.96,0.76
gastarb,1.0,1.0,0.99,0.9
kredit,0.86,0.89,0.75,0.45
