Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.92,0.77,0.22
moral,0.79,0.75,0.43,0.06
verw,0.89,0.78,0.45,0.02
sparkont,0.74,0.74,0.37,0.09
beszeit,0.95,0.93,0.79,0.19
rate,0.88,0.88,0.65,0.25
famges,0.81,0.78,0.51,0.11
buerge,0.3,0.38,0.12,0.04
wohnzeit,0.92,0.91,0.75,0.28
verm,0.98,0.98,0.94,0.54
weitkred,0.5,0.56,0.25,0.06
wohn,0.72,0.76,0.46,0.18
bishkred,0.64,0.57,0.31,0.01
beruf,0.71,0.69,0.38,0.03
pers,0.48,0.58,0.32,0.16
telef,0.93,0.95,0.88,0.59
gastarb,0.26,0.37,0.15,0.08
kredit,0.85,0.89,0.74,0.44
