Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.96,0.96,0.86,0.38
moral,0.75,0.72,0.38,0.07
verw,0.89,0.77,0.44,0.01
sparkont,0.85,0.84,0.53,0.17
beszeit,0.94,0.92,0.76,0.15
rate,0.92,0.92,0.73,0.3
famges,0.87,0.86,0.63,0.19
buerge,0.3,0.38,0.12,0.05
wohnzeit,0.94,0.93,0.78,0.35
verm,0.99,0.99,0.98,0.69
weitkred,0.54,0.59,0.28,0.07
wohn,0.83,0.86,0.63,0.25
bishkred,0.64,0.56,0.31,0.01
beruf,0.72,0.7,0.39,0.03
pers,0.52,0.62,0.35,0.18
telef,0.96,0.97,0.93,0.68
gastarb,0.54,0.64,0.37,0.19
kredit,0.78,0.84,0.64,0.37
