41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Male,0,1902,60, Dominican-Republic, >50K
38, Private, HS-grad, Divorced, Sales, Husband, Other, Male,0,0,40, Ireland, >50K
24, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, England, <=50K
23, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Male,0,0,48, El-Salvador, <=50K
34, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,35, United-States, <=50K
54, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, El-Salvador, >50K
29, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Other-relative, Other, Female,0,0,40, Ecuador, <=50K
18, Private, 11th, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,30, Yugoslavia, <=50K
43, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,50, Dominican-Republic, <=50K
32, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, South, <=50K
28, Private, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,1902,40, South, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
29, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,65, Nicaragua, >50K
65, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,20, Canada, <=50K
24, Private, Some-college, Married-civ-spouse, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,35, Cuba, <=50K
44, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,60, Poland, >50K
38, Private, HS-grad, Divorced, Transport-moving, Unmarried, Black, Female,0,0,40, Vietnam, <=50K
46, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,40, Columbia, >50K
29, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Other, Male,0,1848,30, Yugoslavia, >50K
29, Private, Assoc-acdm, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,20, Japan, <=50K
35, Private, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,14254,0,50, Yugoslavia, >50K
