Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.91,0.9,0.72,0.16
moral,0.78,0.73,0.41,0.06
verw,0.89,0.79,0.46,0.02
sparkont,0.73,0.73,0.35,0.1
beszeit,0.96,0.94,0.81,0.18
rate,0.9,0.91,0.7,0.31
famges,0.76,0.73,0.44,0.07
buerge,0.27,0.35,0.11,0.04
wohnzeit,0.93,0.93,0.78,0.32
verm,0.98,0.98,0.92,0.48
weitkred,0.51,0.57,0.25,0.08
wohn,0.69,0.74,0.43,0.18
bishkred,0.65,0.58,0.32,0.01
beruf,0.68,0.66,0.35,0.02
pers,0.51,0.61,0.34,0.17
telef,0.97,0.98,0.95,0.72
gastarb,0.15,0.24,0.08,0.04
kredit,0.84,0.88,0.72,0.43
