30, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,35, Cuba, <=50K
37, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,50, Iran, >50K
23, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Female,0,0,40, England, <=50K
39, Private, HS-grad, Divorced, Other-service, Not-in-family, Other, Male,0,0,42, El-Salvador, <=50K
24, Private, HS-grad, Never-married, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, <=50K
19, Private, 11th, Never-married, Prof-specialty, Own-child, Black, Female,0,0,30, El-Salvador, <=50K
36, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, Other, Female,0,0,40, Ecuador, <=50K
18, Private, 11th, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
42, Private, HS-grad, Never-married, Craft-repair, Unmarried, Black, Female,0,0,40, Dominican-Republic, <=50K
29, Local-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,35, Scotland, <=50K
29, Private, 12th, Never-married, Other-service, Husband, White, Female,0,0,25, Scotland, <=50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,44, Ireland, <=50K
37, Self-emp-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Female,0,0,40, Nicaragua, >50K
63, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,12, Canada, <=50K
26, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
19, Private, Some-college, Never-married, Craft-repair, Other-relative, Black, Female,0,0,20, Philippines, <=50K
35, Private, HS-grad, Divorced, Transport-moving, Unmarried, Black, Female,0,0,40, Vietnam, <=50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Columbia, >50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,3128,0,50, Yugoslavia, >50K
26, Private, Assoc-voc, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
55, Private, Bachelors, Widowed, Exec-managerial, Husband, Black, Male,0,0,20, Yugoslavia, <=50K
44, Federal-gov, Doctorate, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,5168,0,40, Ecuador, >50K
30, Private, HS-grad, Married-civ-spouse, Farming-fishing, Unmarried, Black, Female,0,0,37, Jamaica, <=50K
74, Self-emp-not-inc, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,8, United-States, <=50K
44, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Female,0,0,35, China, <=50K
48, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,45, El-Salvador, >50K
54, Private, Bachelors, Divorced, Prof-specialty, Unmarried, Black, Male,0,0,40, Dominican-Republic, >50K
35, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Germany, <=50K
19, Private, HS-grad, Separated, Adm-clerical, Own-child, Black, Female,0,0,40, Cambodia, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,42, Canada, >50K
38, State-gov, Some-college, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,1902,40, Yugoslavia, <=50K
21, Private, Some-college, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, Taiwan, <=50K
35, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Female,0,0,40, Puerto-Rico, <=50K
35, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Black, Male,5094,0,40, El-Salvador, <=50K
45, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Greece, <=50K
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,1899,60, Guatemala, >50K
39, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,1902,40, El-Salvador, <=50K
65, Self-emp-not-inc, Doctorate, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander, Female,0,1902,17, Ecuador, <=50K
46, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, Nicaragua, >50K
31, Local-gov, Assoc-voc, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,50, Japan, >50K
40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,45, Japan, >50K
64, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,54, France, >50K
27, Private, Assoc-voc, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, Laos, <=50K
29, Private, Assoc-voc, Divorced, Machine-op-inspct, Own-child, Black, Male,0,0,40, Poland, <=50K
27, Local-gov, 7th-8th, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,40, England, <=50K
64, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,45, Hong, <=50K
