Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,1.0,0.86
moral,0.82,0.79,0.48,0.09
verw,0.9,0.8,0.49,0.02
sparkont,1.0,1.0,0.99,0.82
beszeit,0.95,0.93,0.78,0.23
rate,0.92,0.92,0.74,0.32
famges,1.0,1.0,0.98,0.73
buerge,0.26,0.34,0.11,0.04
wohnzeit,0.91,0.9,0.72,0.23
verm,1.0,1.0,0.98,0.73
weitkred,0.54,0.59,0.28,0.07
wohn,1.0,1.0,0.99,0.82
bishkred,0.75,0.73,0.51,0.07
beruf,0.72,0.69,0.4,0.01
pers,0.6,0.69,0.43,0.23
telef,0.96,0.97,0.93,0.68
gastarb,1.0,1.0,0.99,0.88
kredit,0.85,0.89,0.74,0.44
