Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.84
moral,0.79,0.76,0.44,0.1
verw,0.89,0.77,0.46,0.01
sparkont,1.0,1.0,1.0,0.88
beszeit,0.93,0.91,0.73,0.15
rate,0.91,0.91,0.71,0.29
famges,1.0,1.0,0.98,0.74
buerge,0.24,0.3,0.1,0.02
wohnzeit,0.94,0.93,0.79,0.36
verm,1.0,1.0,0.99,0.79
weitkred,0.51,0.56,0.26,0.06
wohn,1.0,1.0,0.99,0.88
bishkred,0.64,0.56,0.31,0.01
beruf,0.74,0.7,0.41,0.02
pers,0.46,0.56,0.3,0.15
telef,0.93,0.95,0.87,0.59
gastarb,0.99,0.99,0.98,0.82
kredit,0.84,0.88,0.72,0.43
