40, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,1887,60, Dominican-Republic, >50K
37, Private, HS-grad, Divorced, Sales, Husband, Other, Male,0,0,40, Iran, >50K
23, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, England, <=50K
23, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Male,0,0,50, El-Salvador, <=50K
33, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,36, Trinadad&Tobago, <=50K
53, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, El-Salvador, >50K
29, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, Other, Female,0,0,40, Ecuador, <=50K
18, Private, 12th, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,30, Yugoslavia, <=50K
41, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Dominican-Republic, <=50K
31, Local-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,40, Scotland, <=50K
26, Private, 12th, Never-married, Priv-house-serv, Husband, White, Female,0,1902,40, Scotland, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Other-relative, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
29, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,65, Nicaragua, >50K
64, Private, Some-college, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,20, Cambodia, <=50K
23, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,36, Cuba, <=50K
42, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,60, Philippines, <=50K
37, Private, HS-grad, Divorced, Transport-moving, Unmarried, Black, Female,0,0,40, Vietnam, <=50K
45, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,10520,0,45, Columbia, >50K
30, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Other, Male,0,1887,31, Yugoslavia, >50K
28, Private, 9th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,20, Jamaica, <=50K
34, Private, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,10520,0,60, Yugoslavia, >50K
27, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,7687,0,50, Ecuador, >50K
31, Private, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, Black, Female,0,1902,45, Jamaica, >50K
41, Self-emp-not-inc, Some-college, Divorced, Protective-serv, Not-in-family, White, Female,0,0,70, Trinadad&Tobago, <=50K
40, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, China, <=50K
28, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,38, El-Salvador, <=50K
32, Private, Bachelors, Divorced, Prof-specialty, Own-child, Black, Male,0,0,40, Dominican-Republic, >50K
23, Private, Bachelors, Never-married, Craft-repair, Husband, Black, Female,0,0,45, Germany, <=50K
56, Self-emp-inc, HS-grad, Widowed, Craft-repair, Husband, Black, Female,0,0,50, Cambodia, <=50K
48, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, Canada, >50K
47, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,1902,40, Yugoslavia, <=50K
60, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,50, Thailand, <=50K
38, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Puerto-Rico, <=50K
39, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, El-Salvador, <=50K
26, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,60, Guatemala, <=50K
31, Private, Bachelors, Never-married, Prof-specialty, Husband, Other, Male,0,0,40, Guatemala, <=50K
59, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,12033,0,62, Ecuador, >50K
48, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
55, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,45, Nicaragua, >50K
61, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male,0,0,70, Japan, >50K
33, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,10217,0,50, Japan, >50K
26, Private, Some-college, Never-married, Sales, Other-relative, Amer-Indian-Eskimo, Male,0,0,40, France, <=50K
39, Private, Assoc-acdm, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, Laos, <=50K
61, Private, 9th, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,35, Poland, >50K
28, Local-gov, 7th-8th, Married-civ-spouse, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,45, England, <=50K
26, Local-gov, HS-grad, Never-married, Other-service, Other-relative, Black, Female,0,0,10, Hong, <=50K
50, Federal-gov, HS-grad, Never-married, Priv-house-serv, Husband, Amer-Indian-Eskimo, Male,10520,0,50, Mexico, >50K
19, Private, Assoc-acdm, Separated, Other-service, Wife, Black, Male,0,0,40, Jamaica, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,55, Honduras, <=50K
39, Private, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Female,0,0,25, Yugoslavia, <=50K
41, Private, Assoc-voc, Divorced, Exec-managerial, Husband, Other, Male,0,0,50, Cuba, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, Ecuador, <=50K
42, Self-emp-inc, Assoc-voc, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,45, India, <=50K
51, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
29, State-gov, HS-grad, Never-married, Craft-repair, Husband, Black, Male,0,0,40, Cuba, >50K
27, Private, 10th, Never-married, Tech-support, Not-in-family, Other, Female,0,0,40, Jamaica, <=50K
18, Private, HS-grad, Divorced, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Jamaica, <=50K
38, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, South, >50K
30, Private, Some-college, Married-civ-spouse, Craft-repair, Other-relative, Black, Female,0,0,40, Thailand, <=50K
45, Private, 11th, Married-civ-spouse, Adm-clerical, Not-in-family, Other, Female,0,0,40, Ecuador, <=50K
39, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
