Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.81
moral,0.82,0.79,0.48,0.1
verw,0.88,0.76,0.44,0.01
sparkont,1.0,1.0,0.98,0.7
beszeit,0.94,0.93,0.77,0.24
rate,0.91,0.91,0.72,0.3
famges,0.99,0.99,0.96,0.64
buerge,0.3,0.38,0.13,0.05
wohnzeit,0.92,0.91,0.75,0.25
verm,1.0,1.0,0.99,0.83
weitkred,0.48,0.54,0.23,0.06
wohn,1.0,1.0,0.99,0.79
bishkred,0.68,0.61,0.35,0.04
beruf,0.72,0.69,0.4,0.01
pers,0.57,0.66,0.4,0.21
telef,0.97,0.98,0.93,0.69
gastarb,0.99,0.99,0.97,0.79
kredit,0.84,0.88,0.73,0.43
