Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.94,0.93,0.81,0.26
moral,0.8,0.76,0.44,0.08
verw,0.89,0.76,0.44,0.01
sparkont,0.74,0.74,0.36,0.1
beszeit,0.94,0.93,0.76,0.19
rate,0.92,0.92,0.74,0.32
famges,0.82,0.8,0.54,0.14
buerge,0.31,0.4,0.13,0.05
wohnzeit,0.92,0.91,0.73,0.3
verm,0.99,0.99,0.96,0.61
weitkred,0.48,0.53,0.23,0.05
wohn,0.73,0.77,0.48,0.18
bishkred,0.67,0.61,0.34,0.03
beruf,0.71,0.7,0.39,0.04
pers,0.55,0.64,0.38,0.2
telef,0.95,0.96,0.9,0.63
gastarb,0.23,0.34,0.13,0.07
kredit,0.84,0.88,0.72,0.42
