39, Private, HS-grad, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Female,0,0,32, United-States, <=50K
50, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, >50K
46, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
28, Private, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
28, Private, Assoc-voc, Divorced, Craft-repair, Wife, White, Male,0,0,40, Vietnam, <=50K
21, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,50, United-States, <=50K
35, Local-gov, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
28, Private, Assoc-acdm, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
29, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,45, Guatemala, >50K
41, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,52, United-States, <=50K
31, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
32, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,36, Mexico, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1667,50, United-States, >50K
40, Private, Assoc-voc, Divorced, Prof-specialty, Not-in-family, White, Female,2136,0,60, United-States, <=50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
47, Federal-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Divorced, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
43, Private, Bachelors, Divorced, Prof-specialty, Husband, White, Male,0,0,70, United-States, <=50K
29, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,48, United-States, <=50K
38, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Male,0,0,36, Poland, <=50K
46, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,8, United-States, <=50K
55, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,35, England, <=50K
49, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
40, Private, Masters, Never-married, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, <=50K
57, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
29, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,35, United-States, >50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States, <=50K
47, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
23, Private, Bachelors, Never-married, Farming-fishing, Unmarried, White, Female,0,0,40, United-States, <=50K
56, Self-emp-not-inc, HS-grad, Never-married, Protective-serv, Not-in-family, White, Female,0,0,30, United-States, <=50K
45, Local-gov, Assoc-voc, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
48, Private, Bachelors, Separated, Other-service, Unmarried, White, Female,0,0,25, United-States, <=50K
24, Private, Some-college, Never-married, Sales, Not-in-family, Black, Male,0,0,30, United-States, >50K
36, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States, >50K
24, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,35, United-States, >50K
32, Local-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
29, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
31, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
17, Private, 10th, Never-married, Prof-specialty, Own-child, White, Male,0,0,30, United-States, <=50K
31, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Vietnam, <=50K
41, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, >50K
23, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
40, Self-emp-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
57, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
31, Private, 10th, Never-married, Sales, Unmarried, White, Female,0,0,32, United-States, <=50K
40, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, >50K
33, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
26, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,36, United-States, <=50K
42, Private, 12th, Divorced, Adm-clerical, Unmarried, White, Female,3103,0,40, United-States, <=50K
30, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, Mexico, <=50K
38, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,7687,0,40, Yugoslavia, >50K
26, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
90, Private, Masters, Widowed, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
27, Self-emp-inc, Doctorate, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,99, United-States, <=50K
