28, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,25, Cuba, <=50K
29, Private, HS-grad, Divorced, Sales, Not-in-family, Other, Male,0,0,40, Iran, <=50K
29, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Female,0,0,40, England, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, Other, Male,0,0,40, El-Salvador, <=50K
58, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,1902,40, Trinadad&Tobago, >50K
35, Private, 9th, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
35, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Female,7298,0,35, Ecuador, >50K
27, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
29, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
57, Private, Masters, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,74, Puerto-Rico, <=50K
32, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, South, <=50K
25, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Iran, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,60, Mexico, >50K
47, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,40, Cambodia, >50K
23, Private, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
35, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,1885,35, Philippines, <=50K
73, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,30, Vietnam, <=50K
36, Self-emp-inc, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,0,0,50, Columbia, <=50K
38, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,25, Yugoslavia, <=50K
33, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,15024,0,60, Jamaica, >50K
40, Private, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,0,0,60, Yugoslavia, <=50K
20, Local-gov, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
27, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,40, Italy, <=50K
39, Private, Some-college, Divorced, Protective-serv, Husband, White, Female,0,0,40, Trinadad&Tobago, <=50K
28, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, China, <=50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, El-Salvador, >50K
29, Private, Bachelors, Married-civ-spouse, Protective-serv, Own-child, Black, Male,0,0,30, Dominican-Republic, <=50K
64, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Female,0,0,35, Germany, <=50K
31, Private, Bachelors, Never-married, Craft-repair, Husband, Black, Female,0,0,40, Cambodia, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,3128,0,40, Canada, >50K
27, State-gov, Some-college, Married-spouse-absent, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
26, Private, Some-college, Never-married, Craft-repair, Own-child, Black, Male,0,0,50, Thailand, <=50K
30, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Female,0,0,40, Portugal, <=50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,1902,12, El-Salvador, <=50K
17, Private, 12th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,20, Greece, <=50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,50, Guatemala, >50K
31, State-gov, HS-grad, Never-married, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, Ecuador, <=50K
26, Private, Bachelors, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,48, Dominican-Republic, <=50K
27, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,30, Mexico, <=50K
34, Local-gov, Assoc-voc, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,40, Jamaica, <=50K
32, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, Jamaica, <=50K
55, Private, Some-college, Married-civ-spouse, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,38, France, <=50K
49, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,6819,0,60, Laos, >50K
21, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Own-child, Black, Male,0,0,40, Philippines, <=50K
37, Local-gov, Assoc-acdm, Divorced, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Male,0,0,45, England, <=50K
48, Local-gov, HS-grad, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, Hong, <=50K
51, Federal-gov, HS-grad, Widowed, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,2254,0,40, Mexico, <=50K
33, Self-emp-inc, Assoc-voc, Never-married, Prof-specialty, Unmarried, Black, Male,0,0,55, Jamaica, <=50K
37, Self-emp-inc, HS-grad, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Honduras, <=50K
29, Private, Masters, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Female,0,0,54, Yugoslavia, <=50K
38, Local-gov, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Other, Male,2847,0,36, Cuba, >50K
39, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, Dominican-Republic, <=50K
50, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Priv-house-serv, Husband, Asian-Pac-Islander, Female,0,0,40, Hungary, <=50K
60, Private, Some-college, Divorced, Sales, Husband, Black, Female,0,0,60, Nicaragua, <=50K
43, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Cuba, >50K
52, Self-emp-not-inc, 10th, Married-civ-spouse, Tech-support, Husband, Other, Female,0,0,30, Italy, >50K
46, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,15024,0,40, Jamaica, >50K
28, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,3103,0,40, South, >50K
41, Self-emp-inc, Prof-school, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,99999,0,40, Thailand, <=50K
40, Private, 5th-6th, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,40, Ecuador, <=50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
40, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Yugoslavia, >50K
69, Self-emp-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,99999,0,40, Taiwan, >50K
33, Private, HS-grad, Never-married, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
31, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Peru, <=50K
40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Guatemala, >50K
19, Private, 11th, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,25, Poland, <=50K
32, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Male,3103,0,15, Italy, <=50K
23, Private, 12th, Never-married, Adm-clerical, Husband, White, Male,0,0,15, India, <=50K
23, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,30, England, <=50K
29, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,16, France, <=50K
48, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Iran, >50K
28, Private, HS-grad, Never-married, Craft-repair, Unmarried, Other, Male,0,1833,40, Jamaica, >50K
53, Local-gov, 5th-6th, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,37, Columbia, <=50K
63, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Italy, >50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Other, Female,3317,0,40, Ecuador, >50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1902,40, South, >50K
24, Private, HS-grad, Never-married, Tech-support, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
34, Private, Bachelors, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Female,0,0,38, France, <=50K
38, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, South, >50K
33, Private, Assoc-acdm, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
23, Private, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,30, Dominican-Republic, <=50K
57, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Female,7687,0,40, Iran, >50K
51, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,43, Trinadad&Tobago, <=50K
38, Self-emp-inc, Assoc-acdm, Never-married, Sales, Not-in-family, White, Male,0,0,65, Trinadad&Tobago, <=50K
52, Private, HS-grad, Divorced, Tech-support, Not-in-family, Black, Female,0,0,40, Columbia, <=50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,50, China, <=50K
47, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Black, Female,0,0,40, Hong, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Taiwan, <=50K
35, Local-gov, Bachelors, Married-civ-spouse, Tech-support, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Greece, >50K
39, State-gov, HS-grad, Divorced, Exec-managerial, Not-in-family, Other, Male,0,0,80, Greece, <=50K
