48, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,60, United-States, >50K
22, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,35, United-States, >50K
37, Private, Bachelors, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,30, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, 11th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,50, United-States, <=50K
66, Private, 7th-8th, Divorced, Craft-repair, Wife, White, Male,0,0,20, Vietnam, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,38, United-States, <=50K
63, Local-gov, HS-grad, Widowed, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
36, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,50, United-States, >50K
28, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Greece, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,42, United-States, <=50K
29, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
55, Private, Doctorate, Divorced, Transport-moving, Unmarried, White, Female,0,0,38, United-States, <=50K
33, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, Peru, >50K
32, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, >50K
34, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, >50K
38, Private, Bachelors, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
47, Federal-gov, Doctorate, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,7687,0,60, United-States, >50K
59, Self-emp-inc, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,16, Mexico, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
45, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Male,0,0,40, United-States, >50K
55, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, United-States, <=50K
25, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,3103,0,40, Greece, <=50K
43, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,5094,0,50, Germany, >50K
51, State-gov, Some-college, Married-spouse-absent, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
37, Private, Masters, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male,0,0,54, United-States, <=50K
27, Private, Some-college, Never-married, Tech-support, Other-relative, Black, Female,0,0,40, United-States, <=50K
26, Private, Some-college, Married-spouse-absent, Sales, Husband, White, Male,0,0,48, United-States, <=50K
20, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
49, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
55, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Male,0,0,50, United-States, <=50K
69, Private, Bachelors, Married-civ-spouse, Farming-fishing, Unmarried, White, Female,0,0,15, United-States, <=50K
19, Private, Some-college, Never-married, Protective-serv, Own-child, White, Female,0,0,40, United-States, <=50K
42, Federal-gov, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,2339,45, United-States, >50K
