value,frequency,column
Male,0.7970016207455429,sex
Female,0.20299837925445705,sex
25 - 45,0.5605753646677472,age_cat
Less than 25,0.22183954619124796,age_cat
Greater than 45,0.21758508914100486,age_cat
African-American,0.5068881685575365,race
Caucasian,0.3429902755267423,race
Hispanic,0.08792544570502431,race
Other,0.0609805510534846,race
Native American,0.0008103727714748784,race
Asian,0.0004051863857374392,race
F,0.6375607779578606,c_charge_degree
M,0.3624392220421394,c_charge_degree
0,0.5155996758508914,is_recid
1,0.4844003241491086,is_recid
Low,0.5421393841166937,score_text
Medium,0.2724878444084279,score_text
High,0.18537277147487843,score_text
0,0.5480145867098866,two_year_recid
1,0.45198541329011344,two_year_recid
