Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.94,0.93,0.8,0.23
moral,0.8,0.76,0.44,0.08
verw,0.91,0.84,0.57,0.03
sparkont,0.8,0.8,0.44,0.12
beszeit,0.95,0.93,0.79,0.17
rate,0.91,0.91,0.71,0.28
famges,0.81,0.79,0.52,0.12
buerge,0.31,0.39,0.13,0.05
wohnzeit,0.94,0.94,0.8,0.33
verm,0.98,0.98,0.92,0.49
weitkred,0.53,0.58,0.27,0.07
wohn,0.74,0.77,0.48,0.17
bishkred,0.66,0.59,0.32,0.02
beruf,0.73,0.71,0.41,0.03
pers,0.59,0.68,0.42,0.22
telef,0.98,0.99,0.97,0.77
gastarb,0.34,0.45,0.2,0.1
kredit,0.86,0.9,0.76,0.46
