Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.91,0.77,0.2
moral,0.77,0.73,0.4,0.08
verw,0.91,0.82,0.53,0.05
sparkont,0.75,0.75,0.37,0.11
beszeit,0.95,0.94,0.8,0.2
rate,0.92,0.93,0.75,0.34
famges,0.81,0.79,0.52,0.11
buerge,0.25,0.33,0.1,0.04
wohnzeit,0.94,0.93,0.79,0.36
verm,0.98,0.98,0.94,0.54
weitkred,0.51,0.55,0.25,0.05
wohn,0.72,0.76,0.46,0.19
bishkred,0.66,0.59,0.32,0.01
beruf,0.74,0.72,0.42,0.04
pers,0.5,0.6,0.34,0.17
telef,0.96,0.97,0.93,0.68
gastarb,0.26,0.36,0.15,0.07
kredit,0.82,0.86,0.69,0.4
