55, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,50, Dominican-Republic, >50K
37, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,45, Iran, >50K
18, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, France, <=50K
38, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Other, Male,15024,0,40, El-Salvador, >50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Trinadad&Tobago, <=50K
60, Private, 5th-6th, Married-civ-spouse, Protective-serv, Husband, Black, Female,0,0,45, El-Salvador, >50K
45, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, Other, Female,0,0,40, Ecuador, <=50K
26, Private, Bachelors, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,7298,0,40, Yugoslavia, <=50K
44, Private, HS-grad, Never-married, Craft-repair, Other-relative, Black, Female,0,0,40, Dominican-Republic, <=50K
29, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Scotland, <=50K
32, Private, 7th-8th, Never-married, Handlers-cleaners, Husband, White, Female,0,0,40, Scotland, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Ireland, <=50K
20, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,20, Nicaragua, >50K
31, Private, Some-college, Never-married, Prof-specialty, Husband, Other, Female,0,0,50, Cambodia, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, Cuba, <=50K
51, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,48, Philippines, >50K
30, Private, Bachelors, Divorced, Transport-moving, Own-child, Black, Female,0,0,40, Vietnam, <=50K
25, Private, Bachelors, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,35, China, <=50K
38, Private, HS-grad, Divorced, Craft-repair, Husband, Other, Male,0,0,54, Yugoslavia, >50K
