Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,1.0,1.0,0.99,0.79
moral,0.8,0.76,0.44,0.09
verw,0.9,0.81,0.54,0.02
sparkont,1.0,1.0,0.98,0.72
beszeit,0.93,0.91,0.73,0.14
rate,0.93,0.93,0.76,0.3
famges,0.99,0.99,0.97,0.64
buerge,0.27,0.35,0.11,0.04
wohnzeit,0.93,0.92,0.77,0.29
verm,1.0,1.0,0.99,0.82
weitkred,0.5,0.56,0.25,0.07
wohn,0.99,1.0,0.98,0.78
bishkred,0.67,0.6,0.34,0.02
beruf,0.72,0.7,0.39,0.03
pers,0.59,0.68,0.42,0.22
telef,0.98,0.98,0.95,0.73
gastarb,0.98,0.99,0.97,0.78
kredit,0.87,0.91,0.77,0.47
