value,frequency,column
 Private,0.7217456173069751,work_class
 Self-emp-not-inc,0.09789050520121016,work_class
 Local-gov,0.07037175183389283,work_class
 State-gov,0.04024203240913424,work_class
 Self-emp-inc,0.03949604210700816,work_class
 Federal-gov,0.02959094865100087,work_class
 Without-pay,0.000663102490778731,work_class
 HS-grad,0.3211902689709478,education
 Some-college,0.2081312942931742,education
 Bachelors,0.1730697500932488,education
 Masters,0.060756765717601226,education
 Assoc-voc,0.04405487173111194,education
 Assoc-acdm,0.034522773426167684,education
 10th,0.026689875253843923,education
 Prof-school,0.024078909196402667,education
 7th-8th,0.02291847983753989,education
 11th,0.02237970906378217,education
 9th,0.01624601102407891,education
 Doctorate,0.015582908533300178,education
 12th,0.011687181399975134,education
 5th-6th,0.010278088607070331,education
 1st-4th,0.006216585851050603,education
 Preschool,0.0021965270007045464,education
 Married-civ-spouse,0.4954204484230594,marital_status
 Never-married,0.2980645696050396,marital_status
 Divorced,0.15756972937129596,marital_status
 Widowed,0.04210700816444942,marital_status
 Separated,0.006672468813460981,marital_status
 Married-spouse-absent,0.00016577562269468274,marital_status
 Exec-managerial,0.14919806042521447,occupation
 Craft-repair,0.137427991213892,occupation
 Prof-specialty,0.13717932777984998,occupation
 Adm-clerical,0.11674748228273032,occupation
 Sales,0.11596004807493059,occupation
 Other-service,0.08902150938704463,occupation
 Machine-op-inspct,0.06697335156865183,occupation
 Transport-moving,0.054996062828961,occupation
 Handlers-cleaners,0.041236686145302334,occupation
 Farming-fishing,0.03680218823821957,occupation
 Tech-support,0.02901073397156948,occupation
 Protective-serv,0.02121927970491939,occupation
 Priv-house-serv,0.00422727837871441,occupation
 Husband,0.4421235857267189,relationship
 Not-in-family,0.27945625595756146,relationship
 Own-child,0.11753491649053006,relationship
 Unmarried,0.11380496497989971,relationship
 Wife,0.03514443201127274,relationship
 Other-relative,0.011935844834017158,relationship
 White,0.7742550457955157,race
 Black,0.10340254465580836,race
 Asian-Pac-Islander,0.05263376020556177,race
 Amer-Indian-Eskimo,0.03518587591694641,race
 Other,0.034522773426167684,race
 Male,0.6253885366156907,sex
 Female,0.37461146338430934,sex
 United-States,0.04828215010982635,native_country
 Haiti,0.025446558083633802,native_country
 Japan,0.02536367027228646,native_country
 Cuba,0.025156450743918108,native_country
 France,0.025073562932570764,native_country
 Trinadad&Tobago,0.024949231215549754,native_country
 Outlying-US(Guam-USVI-etc),0.02478345559285507,native_country
 England,0.02461767997016039,native_country
 El-Salvador,0.024534792158813046,native_country
 Ireland,0.024534792158813046,native_country
 Nicaragua,0.024493348253139376,native_country
 Hungary,0.024493348253139376,native_country
 Philippines,0.024369016536118365,native_country
 Thailand,0.02432757263044469,native_country
 Greece,0.02424468481909735,native_country
 Vietnam,0.02416179700775001,native_country
 South,0.02412035310207634,native_country
 Laos,0.024078909196402667,native_country
 Italy,0.023871689668034317,native_country
 Dominican-Republic,0.023871689668034317,native_country
 Holand-Netherlands,0.023830245762360643,native_country
 Yugoslavia,0.023788801856686973,native_country
 Poland,0.023788801856686973,native_country
 Taiwan,0.023747357951013303,native_country
 Scotland,0.023705914045339633,native_country
 India,0.023623026233992293,native_country
 Cambodia,0.02358158232831862,native_country
 Canada,0.02358158232831862,native_country
 Portugal,0.02337436279995027,native_country
 Ecuador,0.0233329188942766,native_country
 Honduras,0.023208587177255584,native_country
 Iran,0.023125699365908244,native_country
 Puerto-Rico,0.023125699365908244,native_country
 Germany,0.023084255460234574,native_country
 Hong,0.022752704214845206,native_country
 Columbia,0.022752704214845206,native_country
 Mexico,0.022669816403497866,native_country
 Peru,0.022421152969455842,native_country
 Jamaica,0.022255377346761158,native_country
 Guatemala,0.022006713912719134,native_country
 China,0.021467943138961415,native_country
 <=50K,0.6966720543744043,income
 >50K,0.30332794562559573,income
