25, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,30, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
21, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, United-States, <=50K
70, Self-emp-inc, Assoc-acdm, Divorced, Exec-managerial, Wife, White, Male,0,0,50, United-States, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
55, Local-gov, HS-grad, Widowed, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
41, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
33, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,35, United-States, <=50K
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
30, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,4844,0,45, Japan, <=50K
26, Private, Masters, Never-married, Sales, Own-child, Other, Male,0,0,40, United-States, <=50K
17, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, United-States, <=50K
27, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
54, Private, Assoc-voc, Divorced, Craft-repair, Own-child, White, Male,0,0,30, Poland, <=50K
48, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Male,0,0,20, United-States, <=50K
51, Private, Assoc-acdm, Divorced, Prof-specialty, Unmarried, White, Female,0,1672,30, United-States, <=50K
46, Private, Bachelors, Separated, Exec-managerial, Husband, White, Male,0,0,52, United-States, <=50K
35, Federal-gov, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
45, Private, Some-college, Divorced, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,54, United-States, <=50K
35, Private, Bachelors, Never-married, Adm-clerical, Other-relative, White, Female,0,0,40, United-States, <=50K
47, Private, Assoc-voc, Divorced, Prof-specialty, Unmarried, White, Female,0,0,16, United-States, <=50K
60, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
