Feature,Gini,Shannon,Simpson,I.I.R.
laufkont,0.93,0.91,0.77,0.18
moral,0.78,0.74,0.42,0.08
verw,0.9,0.8,0.48,0.04
sparkont,0.73,0.73,0.36,0.08
beszeit,0.95,0.93,0.78,0.19
rate,0.9,0.91,0.7,0.31
famges,0.79,0.76,0.48,0.09
buerge,0.24,0.32,0.09,0.05
wohnzeit,0.92,0.91,0.74,0.31
verm,0.98,0.97,0.92,0.47
weitkred,0.46,0.52,0.22,0.06
wohn,0.68,0.72,0.41,0.15
bishkred,0.66,0.57,0.32,0.01
beruf,0.72,0.7,0.39,0.04
pers,0.51,0.61,0.35,0.18
telef,0.96,0.97,0.92,0.65
gastarb,0.13,0.21,0.07,0.03
kredit,0.85,0.89,0.74,0.44
